ID	S0
10101327	19357.938840608425
10101589	22098.80376133218
10221262	21014.12846002273
10222853	19422.162301809894
10248033	19518.950375583932
10435090	20559.24613181447
10684501	17791.20470969799
11157783	24295.402615661635
11319389	19837.413256574717
11326252	16675.558113956446
11327005	21775.71670131916
11345331	15355.003337779866
11392518	15454.428331138377
11413170	17390.4458039343
11453772	18985.956725091924
11606935	15368.198579402926
11616707	18663.946089008867
11619606	19673.598124657925
11652071	18858.846409080146
1243685	20858.43169016252
14498577	22310.319789277408
14641578	20137.941937416464
15387421	21415.897211180967
20112377	22113.90311468142
20120255	15069.2104601478
20124619	24514.894131814057
20139562	19342.405677629795
20147440	22710.848583969615
20152393	19493.733420319666
20156469	23852.65240651969
20173942	20794.559452098805
20185860	16998.556158013627
20187042	22987.13069667411
20195344	22509.57988836609
20197364	21597.029557218462
20204538	19244.355815175066
20214850	22339.998967319385
20232474	19186.691016563855
20251553	19539.675147659105
20252720	21933.778616549058
20254902	22781.236439135166
20260284	23689.38921540285
20267709	21666.37254179678
20271359	17596.714463792367
20275399	20356.97302274696
20299973	21978.608101754522
20358955	14159.031409136947
20376029	26323.40774799185
20380417	22225.651397960006
20390027	21905.687612267557
20447343	25078.079752280963
20501668	19294.591522990642
20532115	20145.0158591064
20559562	18910.1414217442
20630946	18404.78975142673
20706215	23947.792976087545
20819999	24506.757773675803
20865035	15188.920262716905
20892128	21674.650499683128
20898476	22582.868386028866
20906079	20865.690910665377
20914669	19524.15262806815
20920239	18483.931159731503
20922259	20478.481755406858
20933324	20767.160422041783
20946545	19568.618902289774
20964295	16903.434542777755
20989910	19317.901171143054
21000630	21225.035853846417
21002524	18913.66846729187
21125782	25027.123408397834
21176459	19348.45812964195
21183160	17409.367369402953
21189544	18632.942250354947
21274280	18211.08202368069
21293107	17472.033039139125
21362537	15972.014226117968
21402304	23684.81929968728
21413181	14806.662362523713
22789958	26447.430629391354
26631069	23468.479970627235
27481601	21580.10303541359
36379623	22715.250196436922
39800111	23573.798109493528
43485807	24767.293134995823
44019405	22083.013564577643
46000440	21664.894014822818
46369736	27283.73266603237
46547648	24656.64192810145
50100770	24791.972150744634
50102376	22962.75571903758
50104008	17933.0154470219
50106442	20276.48805041066
50106730	19113.80105007197
50107871	22439.48914281579
50108462	20639.503079834234
50108750	17924.034608675327
50108912	17108.007491957098
50109215	21333.037872786364
50300822	20175.702273911244
50301675	23444.971554664
50400259	16016.606369078576
50400385	24279.896829571586
50402693	20326.504914174322
50402729	20787.34709377695
51624179	22309.379296759093
54122640	23360.34179067517
55897318	20351.12811847923
56432243	17577.614397744885
5779736	26102.85578250316
60747316	18643.37512734269
66754397	22694.839086279924
69982533	23488.95552950357
70153803	23048.350385322286
7253015	21510.959515221664
7265221	21342.119638401124
7287209	18811.9346222855
74753465	21445.830487341264
75990666	19820.645532456256
76647134	22027.28580733504
76755449	17181.292814606688
76867532	23718.71872521165
78353027	21125.561813165066
81852640	21106.96539399327
81874628	20696.894061751955
82317494	15593.429048913107
84642424	20844.440813483514
85171938	19642.137328355424
87645445	22431.27956336258
89164957	24242.619696711456
90267190	19114.5906694883
91018909	14932.496580718762
98953007	25099.822640890918
