gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28
MATN1	0.019966652842139682	0.019966652842139235	0.019966652842139682	0.019966256670109827	0.019966256670110285	0.01996625667010991	0.01996665284213995	0.019966256670110354	0.019959739163867472	0.019966256670109664	0.019966652842139755	0.01995973916386601	0.019966256670110438	0.01996665284213956	0.01996665284213949	0.019966256670109775	0.019966256670110125	0.01995973916386649	0.019959739163866744	0.01996625667011022	0.019959739163866366	0.01996665284213951	0.019966256670109997	0.019966652842139887	0.0199597391638662	0.019966652842139845	0.019966652842140577	0.019966652842139724	0.01996665284213985
TINAGL1	0.024430200692174327	0.024430200692174057	0.02443020069217437	0.024431464595526885	0.02443146459552693	0.02443146459552696	0.024430200692174442	0.024431464595526944	0.024425897024088733	0.024431464595526916	0.02443020069217437	0.02442589702408827	0.02443146459552702	0.024430200692174445	0.02443020069217412	0.0244314645955268	0.024431464595526954	0.024425897024088535	0.024425897024088372	0.024431464595526975	0.024425897024088084	0.024430200692174327	0.02443146459552696	0.024430200692174362	0.024425897024088226	0.024430200692174397	0.024430200692174688	0.02443020069217432	0.024430200692174286
RNF19B	0.032100362866288146	0.03210036286628848	0.032100362866288396	0.03209564121441399	0.03209564121441374	0.032095641214414224	0.032100362866288194	0.03209564121441343	0.032089648277768966	0.032095641214414376	0.03210036286628825	0.0320896482777698	0.03209564121441342	0.03210036286628865	0.03210036286628826	0.03209564121441368	0.03209564121441361	0.03208964827776978	0.0320896482777692	0.03209564121441355	0.032089648277769216	0.03210036286628846	0.03209564121441368	0.03210036286628819	0.03208964827776953	0.0321003628662882	0.03210036286628814	0.03210036286628832	0.03210036286628801
ZMYM1	0.031229659268749297	0.031229659268749547	0.031229659268749245	0.031230772944947756	0.031230772944947378	0.03123077294494758	0.03122965926874903	0.031230772944947468	0.03123634540988233	0.031230772944947763	0.031229659268749207	0.031236345409883556	0.03123077294494744	0.03122965926874925	0.03122965926874938	0.03123077294494798	0.031230772944947634	0.031236345409883168	0.031236345409883078	0.031230772944947575	0.03123634540988341	0.031229659268749387	0.031230772944947752	0.03122965926874904	0.031236345409883445	0.031229659268749085	0.03122965926874846	0.031229659268749193	0.031229659268749148
PSMB2	0.021973488685947874	0.021973488685947565	0.021973488685947902	0.02197846900480443	0.021978469004804782	0.021978469004804546	0.021973488685948193	0.021978469004804747	0.021975034491906353	0.021978469004804334	0.021973488685948006	0.02197503449190528	0.021978469004804817	0.021973488685947947	0.021973488685947735	0.02197846900480432	0.021978469004804612	0.021975034491905663	0.021975034491905705	0.021978469004804654	0.02197503449190546	0.021973488685947822	0.02197846900480447	0.02197348868594808	0.021975034491905375	0.021973488685948072	0.021973488685948755	0.021973488685947975	0.021973488685947958
MEAF6	0.02196332322179954	0.021963323221799103	0.02196332322179937	0.02195720096165214	0.02195720096165221	0.021957200961652	0.021963323221799464	0.021957200961652535	0.021950861430287072	0.021957200961651897	0.021963323221799495	0.021950861430286437	0.021957200961652632	0.02196332322179919	0.021963323221799315	0.021957200961652365	0.02195720096165244	0.021950861430286565	0.021950861430286826	0.021957200961652473	0.021950861430286593	0.021963323221799346	0.021957200961652396	0.021963323221799412	0.02195086143028656	0.02196332322179947	0.021963323221799565	0.021963323221799315	0.021963323221799554
SMAP2	0.022650335727820513	0.02265033572782011	0.022650335727820294	0.02265384450777743	0.022653844507777438	0.022653844507777215	0.022650335727820416	0.02265384450777783	0.022656523495388922	0.02265384450777714	0.022650335727820436	0.022656523495388613	0.02265384450777787	0.02265033572782012	0.022650335727820298	0.022653844507777753	0.022653844507777767	0.02265652349538859	0.02265652349538885	0.0226538445077778	0.022656523495388835	0.022650335727820305	0.022653844507777715	0.02265033572782032	0.022656523495388704	0.022650335727820367	0.022650335727820343	0.022650335727820273	0.0226503357278205
ERMAP	0.025859488292503188	0.025859488292503247	0.02585948829250337	0.025867016638352426	0.02586701663835263	0.02586701663835256	0.025859488292503455	0.0258670166383525	0.02586668008361922	0.025867016638352416	0.025859488292503334	0.025866680083618726	0.025867016638352506	0.025859488292503407	0.02585948829250328	0.025867016638352263	0.025867016638352395	0.025866680083618906	0.02586668008361897	0.025867016638352426	0.025866680083618924	0.02585948829250328	0.02586701663835232	0.025859488292503507	0.0258666800836188	0.0258594882925034	0.02585948829250387	0.025859488292503428	0.025859488292503282
SLC5A9	0.02887139114107298	0.028871391141073004	0.028871391141072827	0.028873379733957392	0.028873379733957018	0.028873379733957122	0.028871391141072653	0.028873379733957316	0.028870710471857904	0.0288733797339573	0.02887139114107287	0.028870710471858928	0.028873379733957275	0.028871391141072754	0.02887139114107294	0.02887337973395774	0.028873379733957455	0.028870710471858543	0.028870710471858525	0.028873379733957375	0.028870710471858737	0.028871391141072976	0.028873379733957528	0.028871391141072636	0.028870710471858855	0.028871391141072723	0.02887139114107211	0.028871391141072723	0.028871391141072823
AGBL4	0.02401777884960291	0.02401777884960255	0.02401777884960265	0.02400849360431351	0.024008493604313407	0.024008493604313265	0.02401777884960265	0.024008493604313765	0.024008206907122773	0.02400849360431327	0.024017778849602746	0.02400820690712282	0.02400849360431384	0.02401777884960244	0.02401777884960269	0.024008493604313858	0.02400849360431378	0.024008206907122735	0.02400820690712291	0.02400849360431377	0.02400820690712288	0.024017778849602687	0.024008493604313817	0.024017778849602565	0.0240082069071229	0.02401777884960268	0.02401777884960232	0.02401777884960255	0.02401777884960282
