gene	S0	S1	S2	S3	S4	S5
LRRC47	4.761217758142904	3.4387163306301876	10.743947590918836	1.644511342453029	8.89196555676796	6.552516517268736
FBXO2	2.220446049250313e-16	6.967017681973411	8.56824525057944	0.24793736637167996	4.178255040650059	15.73736020502931
SPATA21	7.755609497746553	5.786388987522692	9.793524521390296	6.041287308720431	1.888667959575237	4.47341201209262
AKR7A3	4.489383319873287	11.003039607206192	2.220446049250313e-16	9.799736234391993	7.053043352063646	2.97518310730862
USP48	5.3216404814007365	11.888948512881818	1.0254568890110658	4.006691838144334	2.220446049250313e-16	13.638622086240126
LDLRAD2	6.0392774641174745	2.220446049250313e-16	11.565422876020401	9.333879092426002	7.645873980303816	0.7650532819749145
TEX46	8.863211901077262	0.47187861824676247	8.294086013648418	5.934240299923516	4.745847528404519	7.945613721616736
FABP3	1.269230687538042	4.599450575139739	7.781444723530142	2.6472241534644656	0.0447948290594411	19.463211291967898
SF3A3	1.9308720743636714	0.8660039579951722	12.076768867939865	2.220446049250313e-16	9.63724633722769	11.514630692764415
NFIA	6.429094010554192	8.14570947142478	13.656212001446601	5.8332973767853575	1.0926287128047685	2.220446049250313e-16
ROR1	6.583014596586833	2.220446049250313e-16	20.97129036297484	0.4102921070811991	4.361772956041994	3.4784560901256087
SERBP1	5.869018705364881	4.905220629923388	7.776202438333386	2.220446049250313e-16	2.220446049250313e-16	18.2440630506768
LRRC8D	2.220446049250313e-16	18.328083182865814	8.766089209503281	2.7228922901743235	4.365527991637868	2.220446049250313e-16
FRRS1	4.789511087815618	2.220446049250313e-16	7.109453937655111	11.27962089432917	10.006580664520728	1.9927963171104839
AMPD2	12.470446935402633	3.535668806496423	10.829176003634808	0.9771437948550776	2.220446049250313e-16	9.291096597138575
SLC16A1	0.9692570269613058	1.6634185393838976	6.067836996781044	6.701655259686177	1.5971176058962815	18.541575568247055
NBPF11	2.599568198993112	2.0874036880599753	2.220446049250313e-16	9.221145870851384	2.477524012756515	19.605723950007203
CIART	5.219222121232056	0.3502894062865938	7.765693656587748	2.220446049250313e-16	8.297786949315158	15.574582023091075
PI4KB	0.5774822154609014	3.4961943174659176	2.182988516265052	8.030077763615186	3.501037640065731	17.809907298498885
TDRD10	0.573334879538795	7.4215981703694265	4.550717144233196	10.046191526217278	6.687171688251667	5.3728171707364885
ZBTB7B	8.907005071387063	8.029056746595106	13.965510659468954	4.692059407653467	2.220446049250313e-16	2.220446049250313e-16
IQGAP3	1.4301484356541592	2.220446049250313e-16	14.877775590020676	2.220446049250313e-16	2.868563322541249	17.09014911123085
TMCO1	3.738214947845515	3.8339764789075126	2.724328167408829	7.8066933331619115	4.59621114602402	12.909154919966252
PTGS2	3.5156701310395713	7.3185873051039625	4.191853671493008	1.660716834742333	3.7226806598645585	15.664236503093603
UCHL5	2.19841623281657	3.2081941529474953	21.01278231367767	2.2264370296727645	3.062749739262107	3.125500707295431
CFH	11.207804021705885	9.73600090376632	6.923841272189073	2.5150086751413276	0.7368061898133114	5.170427702616089
KDM5B	5.352677058159587	3.1554596893045517	18.161800172980005	2.255744946222789	6.608134719770803	2.220446049250313e-16
NUCKS1	10.605325825127892	2.220446049250313e-16	6.071403911180436	6.629989216967787	9.23195873593262	4.491994803502924
TRAF5	3.067744443789657	0.0833524975320401	6.010374542346427	4.385518551941818	3.9135687349067734	18.638998158702773
SLC30A10	6.689657023756178	5.576214845962985	12.611071656642082	2.220446049250313e-16	4.435599677973803	6.864774633474783
RBM34	10.224970459097587	3.1978056713396743	9.468607781722115	2.430682127707703	5.681281754971523	5.67916482230816
WDR64	8.5530451176642	0.6172904119660672	15.028972428472088	4.851078872131928	6.901384032190484	2.220446049250313e-16
KRTCAP3	12.042556789517384	2.220446049250313e-16	11.115252283220418	5.5641652925824365	4.0971167013348975	3.902744477786583
CRIM1	8.46613862535767	3.4058358500776045	9.858712090674633	4.6530041643921685	2.497630804345796	7.310095397262387
SLC3A1	2.220446049250313e-16	8.322174460215384	2.220446049250313e-16	13.474125904849345	5.165709196677092	7.4339757509096875
CFAP36	4.489543196898909	7.415975559507819	2.8757386849856283	1.6487346032669956	2.073370283926298	17.827171239082766
RNF103	4.526263534466231	7.666976222262544	5.922460899256313	0.2503244216633824	2.220446049250313e-16	18.07994890625564
MAL	11.305680697349477	1.339719265721559	10.62834504862744	4.900389232474213	2.9079923291515595	5.5621045754954554
ANKRD36C	5.847814450045199	5.401964511736049	14.920889339930234	1.3851081447977487	8.144411559120362	2.220446049250313e-16
LIPT1	7.395011971790681	2.097654703512214	6.1583396703873206	4.567443079854419	3.6258711789238047	12.506583453154542
CD8B2	8.014263456682517	2.6206437623011833	9.078408383954994	3.7082787478143384	12.44088735455497	0.32950138375787397
IL1B	3.887637309556924	6.143726719060268	1.8775035900193489	3.798604622062874	6.3240845255768985	13.924591885821867
RAB6D	11.01804697623129	7.2179574261020925	5.6768718796388775	3.594057230684397	8.152472238349775	0.7268727064716485
PKP4	3.262670413952499	4.61136188136766	4.246207600737837	2.0759365489799055	2.2508631483475456	19.858086616222423
TTC30A	8.72991660872012	2.220446049250313e-16	4.747447140408918	9.63531896795807	6.740136348860092	6.560622012821193
ITGA4	8.119710541076575	6.381369386693152	15.286599232093057	2.220446049250313e-16	2.220446049250313e-16	6.541966383127712
MOB4	1.6302273535838478	1.8043530996977921	5.979136237053503	8.113365847002099	6.268892811710476	11.463433418013595
FZD7	0.31336649490155427	3.5645230314255443	12.550961026299909	2.220446049250313e-16	0.9803407892951839	18.34463471403206
