gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9
SAMD11	1.1602939907298555	2.220446049250313e-16	2.9224072346174097	3.8222519691316794	6.640760980402724	1.9607163590015113	1.158843371616632	5.488943782124031	7.3237848622137065	3.110766818711493
TNFRSF4	1.0047202922508567	1.094746522636191	1.8881989292414745	4.078779534598514	8.061412642190541	4.038688628104172	5.591031494035637	4.172327298774354	2.1569355870947557	2.8791362267408296
ACAP3	2.220446049250313e-16	2.031917551268272	3.1813936573603847	4.938211478568431	12.851212772078888	2.6436398895401982	0.08696442614104027	3.480369452359388	3.258226282828515	1.6827641892384193
DVL1	2.847892793426104	0.46834299648912925	5.421682006176309	2.3709484146830837	12.995123042479115	2.776219236815585	2.220446049250313e-16	1.2283686168934675	4.789874985130626	2.951374979822371
ATAD3B	2.220446049250313e-16	5.60228051867822	2.5009112494526917	4.404281567451021	9.342735276430929	7.1622866377466305	5.230946764924576	1.573916421925082	2.220446049250313e-16	2.220446049250313e-16
FNDC10	1.3844163318378249	6.2074251525912345	5.150670569799946	5.644513408295655	8.528341434974507	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	4.862602433573616	2.9354956067314153
CDK11A	2.220446049250313e-16	6.286954719063282	2.8270843090993782	3.361534596433895	4.00513421119424	7.894945114624198	5.028451370478733	4.706958815873753	0.37935162955015045	0.3787047110424564
CALML6	2.0505107683920802	1.288604491142399	2.2021581991594625	4.6937336097663955	10.852104467051152	1.8615790428878376	3.2053673128053775	7.768964019292474	0.12871040443299808	2.220446049250313e-16
PRKCZ	0.1930191630413014	9.123916509499312	2.220446049250313e-16	3.8223582721563636	2.5537894401214634	3.5546309356488734	9.488322168858687	2.385300914543583	2.1398471968379797	1.0159254992063298
HES5	2.220446049250313e-16	0.35193333654338965	4.0417659440959515	3.6728553965513866	13.775895325398336	5.130339368366099	1.9669568517459037	5.561407697447488	0.32005120961594	0.8288012089715684
ZBTB48	2.6884825333218787	7.306838508464482	5.691008559720766	6.052305681167978	2.0365557087314716	3.966135146220199	5.156987930830321	2.220446049250313e-16	2.9599933218161336	2.220446049250313e-16
UTS2	0.8260224181677615	7.033924949687647	1.7294709150542174	5.944255553255183	0.6549831783646252	7.727274526638861	1.4233003091141445	3.783133373222034	1.9290798293893519	1.4313507866913726
ENO1	8.98687606907931	2.220446049250313e-16	4.475323385391329	2.220446049250313e-16	5.466424363212501	2.220446049250313e-16	4.233364147372434	5.759967657698314	3.7051068216887573	2.7535098749118907
UBE4B	1.427159059171079	9.239055962628507	2.4188932865864845	3.9065443970393865	5.3897217585439146	1.8333782986282063	3.9168908269005778	2.220446049250313e-16	2.9452395366518895	2.9543745268367894
TARDBP	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	3.5285965739235703	10.383134246565634	2.5482619016205827	0.10861333403087414	3.2581733886999054	4.378350163068333	8.765254788043027
MASP2	6.834973100948746	4.723754523037623	2.220446049250313e-16	3.510455653884491	1.1477239308788891	0.7054615922715191	7.586885488813785	4.987276525318817	2.220446049250313e-16	4.205443698138819
UBIAD1	2.220446049250313e-16	3.469194073519928	3.7638345982386063	4.151542295983468	5.289074743149152	4.678598160161422	2.220446049250313e-16	3.24127435427912	6.543316504902621	2.7553419026775074
FHAD1	11.126782916354308	0.70575474846855	1.7995153484178956	2.220446049250313e-16	5.90235816453598	1.3336533225887235	6.917244281344677	3.0571653436404667	2.7123154027420147	1.4655198725393799
EMC1	8.22611318614146	1.266787772715242	1.5778374407657711	0.9047377990360621	3.7198726840340317	5.553837847498101	8.628875163402139	1.1987814072540537	3.5150277145065503	0.9781315006340592
SLC66A1	9.357067998912827	4.918953172952913	5.067128247907432	2.220446049250313e-16	2.220446049250313e-16	3.8935699875343692	6.587644453002129	4.733107939410982	2.220446049250313e-16	1.7097401350212191
HP1BP3	0.6152193788053879	7.216186880009516	4.202492749159761	2.220446049250313e-16	5.7919502144041015	0.7468343125570192	4.672876152030406	2.4328349516854835	4.717608020255368	4.962449779174198
C1QA	1.6586727526939713	1.9908232202612144	0.210410780071426	2.264467151276024	9.442463141423469	10.547984314718095	5.533063158025225	0.765664255942126	2.2478370351924024	0.31959662632714436
E2F2	0.45130663132205373	5.749693398831138	2.353868402419724	6.201647533851293	6.9440100797538395	1.6277825838383104	9.059672077942508	2.220446049250313e-16	3.3325559537168976	2.220446049250313e-16
HMGCL	1.4915552165859405	5.8177705658632775	2.220446049250313e-16	3.815079503768679	6.994231656279649	1.102873376134481	6.847647688127194	4.971917772733304	2.220446049250313e-16	2.832009577134044
GRHL3	2.220446049250313e-16	5.873268406933125	0.7786373042611352	6.046456247862557	7.793158253622958	1.1401314932453266	9.510760509890689	2.6594805538387924	1.254329089291601	2.220446049250313e-16
RSRP1	2.100987247266475	0.08298994169390816	3.369029555786807	0.8491401447993585	12.28194144726614	4.438703913081675	0.14106177440185963	7.857235140037931	2.326592704904832	0.829514086037515
EXTL1	3.2637977577307336	1.440013922132204	2.9840923790483966	1.6485417446369737	2.220446049250313e-16	1.1898512805560362	5.345191536884198	11.73290788049803	4.062160193530106	2.0562994009351927
SLC30A2	0.09740377157739652	2.220446049250313e-16	3.2160368530260257	3.373193837307089	9.000411556323368	4.603721811352625	7.819670906223745	3.297421387530803	2.6612918651805453	2.8018615549753547
FAM110D	6.719406807362432	3.4873983368456294	2.2495334932115805	4.896570992898146	1.5241276574065852	2.220446049250313e-16	5.344302912433896	3.088526492622055	2.237089093699179	4.668846078827858
