gene	S0	S1	S2	S3	S4	S5	S6	S7
AJAP1	2.220446049250313e-16	1.3601270212219005	2.4424094527867606	4.843733170636844	1.5198609482037213	14.424468595606207	3.583852355102529	6.817533016501246
CLSTN1	2.220446049250313e-16	2.489428183791234	3.696331683578011	7.472829262420014	7.297380629410786	4.546639908054338	1.0677822752657233	7.256765989693293
UBIAD1	4.304302849549962	4.998715627308888	2.356603523395388	6.009749812465456	2.220446049250313e-16	11.933352126042964	2.628134617194059	3.5004277686889957
WNT4	3.849896651167956	2.362020167224305	9.939224699173222	10.870189852281289	5.00479461197356	2.055242907204012	0.7934542553841046	1.1945865467254233
RSRP1	0.9483557167895147	5.939821851704686	2.220446049250313e-16	2.220446049250313e-16	8.133935550981587	16.337880802855878	1.2348108542975615	1.2773807841036957
SLC30A2	5.6473287970485435	8.557682609559537	6.6245930843518845	2.220446049250313e-16	4.0867825641310835	2.7033533120251834	1.2995965788864208	5.3139536369016875
CEP85	3.560122085827246	2.220446049250313e-16	8.232746682717996	5.672922593414422	11.143005414264739	4.307335316551411	0.34118110896369824	2.7079980715870775
ARID1A	3.3557024237252553	4.372235155881169	2.8342482532730053	12.386442059045937	8.775000821350242	2.220446049250313e-16	2.220446049250313e-16	2.633785661093629
WASF2	1.2602707288863848	7.459550769595312	3.5274496644475075	10.645849593816944	7.127055132942299	2.220446049250313e-16	3.114528503860311	2.220446049250313e-16
C1orf216	5.484322338423616	0.023913090243125268	7.473304466451094	12.851110434364385	4.5570664480879515	0.21408855816193384	1.5717268616462454	4.61870808116854
HEYL	5.356177271168468	4.592573684774107	7.254499662933957	8.992985733452748	4.972670516114575	0.7322908774601165	2.220446049250313e-16	3.513909704444097
PPIE	4.813867742696111	3.988451780966173	6.094031362670908	12.54064445254605	3.8562721895038745	1.8724321844248084	1.3390472959389972	1.2605234515558283
TRIT1	3.004384845214321	8.16103874423184	6.573118308908459	6.996235503705911	2.5671589721321353	1.897843333524572	0.692389995261979	3.718918085319051
MFSD2A	5.0304997267693015	5.324395399829434	6.981144996467165	2.220446049250313e-16	1.7410325200831487	8.501864683633235	2.220446049250313e-16	7.807944343032631
KDM4A	7.961140692239276	3.889479856045762	3.8885423105684973	11.955081887533657	2.063536862551729	0.905047845536648	2.220446049250313e-16	5.893159434315979
DPH2	2.136394587427901	5.1796687075989585	5.045738316952503	2.220446049250313e-16	2.220446049250313e-16	10.528119778285383	11.245680449827029	1.0921041638505518
BEST4	0.4304045213780163	5.095317072438123	2.0892024267018003	2.220446049250313e-16	0.4580830744873321	15.761003866343064	4.473198780250714	5.9126025862218565
UROD	5.644619454889212	3.3083182697417506	7.373377655118785	11.418694542738587	4.145501873474861	0.838348627309875	2.220446049250313e-16	3.383536631139731
CYP4B1	2.2159024013647874	6.935706847838038	2.220446049250313e-16	0.8399931611087119	1.901584453011918	15.807734120906616	3.0976660455190053	3.4641287746212526
USP24	1.6400052485323076	4.800125938321024	6.943628119073029	8.56701481176091	4.970606693845162	2.220446049250313e-16	3.337691717915594	4.013617902044239
PRKAA2	2.220446049250313e-16	0.03733235567324162	4.650400745256938	4.841606182141531	11.595791899173912	8.890629761416413	2.220446049250313e-16	4.571906433900084
RPE65	3.918924762793952	7.084843313045063	2.5612031492050855	12.289737300972702	4.624621409930057	2.220446049250313e-16	2.3176972484505978	1.465754345590847
CRYZ	1.9809441315473442	4.516499073804569	3.974634101934719	0.36487980244636553	10.40305401015765	4.4642831653631605	4.907038289203453	3.110634647906471
RABGGTB	1.5109402423444411	1.6051715681095065	4.128510342087039	9.863204579065425	7.194653748114215	4.831859386573659	1.858965027003483	3.752457374773748
ASB17	2.859467644299166	0.6177535812486763	6.308541933042502	8.629218400097674	8.254868694274748	3.917421676412303	2.220446049250313e-16	5.120044680134508
CLCA2	3.728870230065326	2.220446049250313e-16	2.937912905937191	2.268407511217764	10.267094953239546	1.592033138214087	6.9837160649700225	7.272008360505003
GBP6	3.3095732662045627	0.45945251321574787	7.807883582281896	2.220446049250313e-16	3.296979779894699	3.8701333836137475	7.973069115878005	8.989460406918576
HFM1	2.790165613557961	1.056586182598645	4.561575469828231	6.053614911391785	4.1288440653009495	4.542978958339171	7.992401107392828	4.498578687455566
RAP1A	0.8157560621954942	5.142986001993261	8.285462631241677	2.220446049250313e-16	3.683572985718509	5.766811681300668	1.9490381841959277	8.099043959356905
WNT2B	4.7281671619957075	2.549768019114712	10.818133214439408	2.220446049250313e-16	2.220446049250313e-16	4.727481782237994	9.664176885399682	4.301863102954294
SRGAP2B	2.220446049250313e-16	3.8729775673434976	7.296082105761586	3.0977912937698506	7.10430663733573	1.5191362638971926	3.283102624564528	7.067318044046609
CD160	4.598436541439352	3.6871394731968827	3.957592914906295	14.118684486668393	3.673577408450158	0.7171168866589421	2.220446049250313e-16	4.614767954844433
RBM8A	8.86858968071371	7.185719832499641	4.2988517469455765	6.856544929319046	5.1151902214623535	2.743844904559811	2.220446049250313e-16	0.9308669528186702
NBPF19	2.220446049250313e-16	2.338279442194038	3.670504415409969	9.201206917443319	9.206565134535673	2.1955934969904445	4.003233043162918	3.383099191557916
CIART	4.546888971047807	3.3584040312856747	6.217267292467122	4.861275525359197	10.59210555156941	5.706750034570213	0.492113614551994	2.220446049250313e-16
ADAMTSL4	5.688815510649905	1.8988539606413095	1.5288063624153136	2.220446049250313e-16	5.5193470435249985	15.897288178374525	2.151674871017828	4.274850884346007
MCL1	3.3335588977862627	2.220446049250313e-16	8.30410355413665	9.489713523477265	1.8769348713171858	1.573135439118146	6.077538753328767	5.595710387626205
