	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
10101327	0.0010552471538648094	0.0	3.3944003601212216e-05	0.0	0.0	0.0	0.0010794705430343537	0.0	0.013310202796095745	0.0024128460928352128	0.0	0.0	0.0	0.026335120186461874	0.03964286691108634	0.0232375705774448	0.013992117688423926	0.0	0.0	0.0
10101589	0.01000931949967449	0.0	0.0	0.0	0.022755857529899816	0.0	0.034198596766117965	0.003337806609768593	0.0068011538148233745	0.0012602251986301317	0.014119285481017247	0.0	0.0033411600660951807	0.0	0.007460335806398902	0.006928906327323201	0.0	0.002094218881224899	0.0	0.008243739521266088
10221262	0.0018844915795530957	0.0023142937722756274	0.018109156562444252	0.0	0.025561888487364553	0.0021678918381848244	0.010431629727010883	0.0	0.004709306002577533	0.0	0.0	0.0	0.029952559192498097	0.0032107277949851086	0.011104480595799321	0.0	0.022205990978964366	0.004498111328263475	0.0	0.010369152291739847
10222853	0.005948966535927958	0.0	0.005198964905355573	0.002084457422672646	0.00329970046375286	0.002114262269189458	0.0	0.0	0.002162002380496318	0.06841060055317215	0.0	0.014973114426828549	0.0	0.0	0.004828213102379999	0.006927008540174671	0.0005096183763390002	0.0	0.0	0.0
10248033	0.015033785942918664	0.0	0.0	0.0	0.0	1.1749856560520192e-05	0.00475122874499704	0.0	0.0013355476449965348	0.01311445086331118	0.019576413242883804	0.0047821644002083025	0.0	0.0	0.004587195059738642	0.03703379213117909	0.0	0.015935207660751106	0.0	0.0
10298957	0.0	0.0014620972853398404	0.0	0.0	0.006235131857041031	0.030299888491238398	0.0	0.0	0.030264299133530657	0.0	0.003144982220270147	0.0	0.0	0.014511431915083159	0.006227449384320519	0.0013555804970125157	0.0	0.02143336209166769	0.0	0.0
10435090	0.002746165646437045	0.0	0.0	0.028621493289584545	0.0	0.011050661402347133	0.0024205375950312026	0.0	0.00803907413421834	0.0359873861781611	0.0023108420159518497	0.0024758765219650963	0.005671666402147405	0.003488891654679686	0.003929010690068255	0.0	0.0	0.0	0.0	0.0
10684501	0.0	0.0	0.0	0.001405509186580221	0.0	0.010856698469696396	0.0033942320630622903	0.0	0.011709801847364233	0.0	0.026454645233884015	0.0	0.018058518586047272	0.0	0.016383873896802615	0.009521520450632235	0.0	0.0	0.016495866607931883	0.0
10866165	0.002591276607926959	0.0	0.014057067714257165	0.0	0.015036631266152041	0.006898776786180551	0.009651161675509775	0.03179859480514841	0.0	0.028010317740709674	0.010701598338627627	0.00243930438180733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023934961314734425
11157783	0.024963123779871775	0.012131492200559516	0.007448707825642331	0.0	0.007233928200613141	0.0	0.00515127365021201	0.024239917218812936	0.009318960090745437	0.001606599409505943	0.006710782094398837	0.0	0.012447942194210346	0.0	0.0	0.008466530372517034	0.0	0.0	0.014120509506846464	0.003270071721448798
11319389	0.0	0.009321481142618203	0.002712517765155844	0.003551757460823626	0.0	0.004258721762308391	0.0294400012283337	0.009165760101689822	0.019847830630617472	0.0	0.002264686227836302	0.0	0.019651452647289527	0.006864256195125291	0.012099529667868045	0.0	0.0	0.0	0.008085826578895063	0.0
11326252	0.0009828341623702801	0.0	0.0	0.0	0.0	0.010568770000609039	0.00514870401265949	0.0	0.011920761741844173	0.01973582633772856	0.018607723078547116	0.006356581093441405	0.0	0.0	0.010830583199207666	0.01004350150449984	0.009678656227024527	0.0	0.0017491258348180788	0.004796483479977658
