	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27
HP1BP3	0.0012333647757321346	0.00016054622596099407	0.0	0.0013558041538522035	0.0009550726458249627	0.0031684951031035365	0.0014314623986967387	0.0	0.0	0.0008476993626750071	0.0	0.00031397296041265824	0.001480135456002784	0.0	0.00030792130039394757	0.0005761504587966505	0.001445501964289137	0.0007430840294156094	0.0008443813808794826	0.00016036376274361817	0.0	0.001756594596571959	0.00033131441823238837	0.001601607253224796	0.0	0.0011061015176522767	0.0007042267542087304
C1QA	0.0002588971354925053	0.0007203259100758354	0.0	0.000848844070966572	0.00025246957641753156	0.0	0.0019363489650653068	0.003593628970495382	0.0	0.002046032651044143	0.0005376578953009092	0.0	0.0012844222425853348	0.0010140082206808307	0.0007420012490931284	0.00039842748849992934	0.0004357064860441332	0.0008417400906901382	0.0	0.0008077703291467628	0.0009945207700438226	0.000142010128355388	0.0009062167051562752	0.0023589067470739067	0.0002720349160771481	0.0	3.934736127079624e-05
E2F2	0.0010879828279945416	0.00021286362648596522	0.0	0.001062506150129073	0.0006804922303836659	0.0	0.001482371283950882	0.0012017174402220142	0.0008850744354211638	0.0	0.0021373499139863664	0.0011237484173115468	0.0014776991697806325	0.0005494927557430908	9.397661896075347e-06	0.001482255303281977	0.0	0.000495694886662987	0.0014816044413790595	0.0004488110328858844	0.0	0.0010205375992165863	0.0002586944488894935	0.0002713799273047044	0.0017714088780332645	0.0009307782935067314	0.0005866186473877468
HMGCL	0.0007440893688452313	0.0003423155962628773	0.0	0.0006657992409829132	0.0012598188390307334	0.0011650731492716924	0.0012869863210628332	0.0007280790690247231	0.0008498339459808268	0.0	0.0	0.001389120089352588	0.00143466378272653	0.0	0.0023360462080182953	0.0010703374909812255	0.0017008246923100765	6.150448484946384e-05	0.0	0.00150510863657275	0.0005867544679658732	0.0	0.0003212566160728568	0.0001599881041099061	0.0028767216125981754	0.0	0.00041241804873117107
GRHL3	0.0008835120864926122	0.0	0.0	0.0013318033654967961	0.0005347556440840409	0.0	0.002827840312038913	0.0	0.0018392657338483084	0.0006017126186640214	0.0022320050017314544	0.0009710731750948379	0.0008521631405495456	0.0007494185296778323	0.0	0.0011240914443983294	0.0003219113996620894	0.0	0.00022161097549107611	0.0011372650122165925	0.0011207067621581493	0.00011387491525760696	0.00010257505834997919	0.0017256398777464094	0.0017669349887710192	0.0	6.35968789401512e-05
RSRP1	0.0	0.002097908354256939	0.0003534621202513231	0.0015320137258789412	0.0010165077997507878	0.00028427815935710716	0.0	0.0012449711633770433	0.0016312395644313006	0.0003906793082524259	0.0	0.00012513653032904067	0.0	0.0	0.0013315675013204815	0.0009324922925855791	0.0015608176371174612	0.0006543364128508081	0.0006744148046734746	0.0008201309194849128	0.001977352772691657	0.0	0.00189065648020965	0.0001803467476999591	0.0	0.0010240756035847876	0.0014339255741911622
EXTL1	0.0	0.001095604462657105	0.001216284352960413	0.0007766405518596701	0.00038963828631572036	0.0008438416840649422	0.0	0.0006112961926375012	0.0014543050154439074	0.0	0.0006920965532057505	0.0016174602145244451	9.957648722894044e-05	0.0	0.0014714340202834212	0.0	0.0030305716816384173	0.0	0.000609036688523568	0.0004598552877131569	0.002341194826070528	0.002414684870633136	0.0	0.0	0.0	0.0006914435236399562	0.0012450369611173896
SLC30A2	0.0	0.0014501421398256521	0.00029467482571064274	0.0012558551677997742	0.0	0.0	0.0018103779005729638	0.001867360479995008	0.0	0.0	0.0	0.0005860981012889836	0.001183050766602855	0.0003541475157132982	0.0014686968833223543	0.00045339725393557474	0.0027628649376909196	0.0011008481931004154	0.00015804696292220544	0.0016553688825272348	0.0	0.0006850326363638925	0.00033970905592126366	0.00016191707324266126	0.0022429868446466475	0.00019694744653577518	0.0019474554763614321
FAM110D	0.0010986364370707917	0.0	0.0016192205484887373	0.0	0.0016138347624284931	0.0015103161839081982	0.000243151219999457	0.0	0.0	0.0	0.0016038774944634744	0.0014304647493310946	0.0	0.0003290617025567779	0.0	0.0009978256616211157	0.0012921636209279792	0.0007516044603634342	0.0018684013749694357	0.00028272611164733907	0.002541404316318929	0.000560512702837846	0.0	0.0	0.0020581582189613105	0.0008138537689862652	0.00022753871976040113
CEP85	0.0014208440183837321	0.0	0.00018954479097107015	0.0	1.049216434418563e-05	0.0010836627161590136	0.0015574625130504202	0.0017460185796220262	0.0012053058223439306	0.0017093243231115869	0.0014549691768223857	0.0020681268972498343	0.0016055961511803132	0.00024342507010714868	0.0007454503477282357	0.0008454988283838039	0.0	0.0002160400763007974	0.0011364811497909532	0.0010586682602566685	2.4044660029920505e-05	0.00017280536023580968	0.00025749621508166197	0.0	0.0	0.0	0.0
SRSF4	0.0	0.0013885175375702038	0.0002480456408919016	0.0016157741221809532	0.001340313187373597	0.0	0.0	0.0010313740739483041	0.0020691242116526124	0.0013236012719160272	0.0009463554857113507	0.00011617687340399326	0.0006341036222627488	0.0019488644620059027	0.0003380414703045	0.0008084782467230525	0.0003581823062347066	0.00024928299062993846	0.001201091802025018	0.00017252924078958544	0.00032769208697023877	0.0006148099512429342	0.00108385813793453	0.0	0.001302380311907833	0.00044256180282848317	0.0006069565956000918
MATN1	0.0	0.002734022182738913	0.0006611638927546782	0.0007367768073115395	0.0007981975743588624	0.0013652520049328893	0.0006656045051959804	0.0007291799987362333	0.0	0.0002696638227472916	0.0	0.001175918498064825	0.00018547429248539585	0.0	0.0025070805936375277	0.0004287968430131337	0.0020517648932554702	0.0007534700406506941	0.00023856837287050144	0.0	0.0009766509244181975	0.00045622153522899874	0.0001496091739838978	0.0008913123407604154	0.0002113465203693296	0.0007880840392112295	0.0015393646249724174
TINAGL1	0.0	0.0020890746912415664	0.0003558491661366895	0.0008981001322345588	0.0	0.0	6.367992073646662e-07	0.0	0.0028042282975112133	0.0	0.0018922513790463982	0.0004832060944004173	0.0	0.0	0.002348915761285347	0.0	0.0025752072313355574	0.0004003974881547389	0.0006088119088141175	0.0010886094525506898	0.0019286314719564595	0.00017068763431799162	0.0003960474339598887	0.00033519455929944647	0.0	0.0013398818144742706	0.001887175783327304
COL16A1	0.0012655442086608162	0.0012026019636553313	0.0011757167727235907	0.00048185442949285674	0.0	0.0019916450137741687	0.00046610913632413544	0.00011947436823878369	0.0	0.001711965120147435	0.0	0.00033776147287312803	0.0006125382791444336	0.0009010820677590208	0.0	0.0016934089480172354	0.0012021717078708805	0.0010835984814109665	0.0003088840530147385	0.000333635619111702	0.0003131550809343587	0.0028635890349336646	0.0	0.0	0.000736197979477588	0.00039085084089677565	0.0005883882389370792
HDAC1	0.0018367033081387973	7.941511934179584e-05	0.00010776079754138634	0.0005580593301194538	0.0008491952621033183	0.0	0.0	0.0013150647601531944	0.001549059141168352	0.0015053595698898182	0.0	0.0	0.0015329409104822675	0.0008360978822666281	0.0	0.001949989186179306	0.002222770350216342	0.0005703352338038797	0.00020321084218119726	0.0030093645997081695	0.0	0.00036832379122271	0.00014831360297293765	0.0	0.0005478173505551297	0.0	0.0007945713477406129
RNF19B	0.001019279835376839	0.00011680858297290783	0.00041859953462585235	0.000215253982270201	0.0	0.000862909317468943	0.0	0.0006861201722482143	0.0006532762972331159	0.0006255871031251157	0.0010871857940100236	0.0012682453642145492	0.0022043746962726518	0.0003295054522716428	0.0014460954325950983	0.0003644849441555626	0.00017963871513178558	0.0	0.0003858883612463786	0.002374060877972235	0.0	0.0014192820290073822	0.0019579457109442	0.0005088837026937259	0.0016002090888610617	0.0018461120118522518	0.0010760792860706296
CSMD2	0.0008697698586221624	0.0015956112443504399	0.0	0.0008573351713562197	0.002260878921974688	0.0026164873466906742	0.0006413771783078473	0.0006605784727777355	0.0003497757836803274	0.0007995846009380826	0.0	0.000150946441548427	0.0	0.0	0.001120418282770296	0.0	0.00013886880671988824	0.00019590388325257008	0.001217142510147902	0.00028479992108953014	0.0006832253983610392	0.0017845375050297321	0.0015647208638563262	0.0003980996005815009	4.819481834732926e-05	0.0008581959649941382	0.0007462464412789502
ZMYM1	0.0009492989065048238	0.0	0.0	0.0005359149878471753	0.00021115651809048143	0.0	0.0005917461702691634	0.00081050242346795	0.0008128083426683899	2.3125077766808265e-05	0.0005929567672598781	0.000570103984325879	0.001955311075558366	0.0006011586768761234	0.0	0.0028110205260451168	0.0004808714670748855	0.00122234620850726	0.003096591861246845	0.002063617165032795	0.0005235322973081056	0.0008172630870593727	0.0012064449201290813	0.00010428357753484729	0.000706969791796563	0.0	3.8888065840410887e-05
NCDN	0.0008601344867983897	0.00015441288455021005	0.0017659597084164775	0.0016301627818024942	0.0011309023153603874	0.0	0.0008332358586052251	0.0	0.0021854862348082795	0.0	0.0009188078710603109	0.0008862312247805386	0.0	0.0	0.0006653594204578455	0.0008800921447410684	0.0011639265050933515	0.0004876199705940443	0.0012568326856912035	0.00043550153630297916	0.0012347916168212705	4.8942145324299584e-05	0.0	0.0012698560307806582	0.0	0.001378353914986943	0.0017838088392357913
PSMB2	0.0011225958746850064	0.0006005062726203023	0.00226688166591905	0.001282986287571785	0.001119444113762293	0.0	0.0017963735339532943	0.0002687573493458763	0.0	0.0	0.0	0.0007130170861303518	0.0003496665421247257	0.0006630904239543515	0.0	0.0004827377114524476	0.0	0.0028946316127572975	0.0	0.001443766791677845	0.0006350053867391331	0.0007994459565976673	0.001343604833093502	0.0003960941795385163	0.00036806195334237427	0.0007485216091913872	0.0005628140502550036
C1orf216	0.0002442803391066002	0.0	2.1523427772254804e-06	0.00010776836461002897	0.0	0.0	0.0020970303853652004	0.0006668390555690048	0.0026160244102494123	0.0003630631245515027	0.002375293216832158	0.002026100019774743	0.0007314033365828383	0.0	0.0018481956190468565	0.0005116747762024732	0.0012706852882593286	0.0	4.907066887493717e-05	0.000990533101592203	0.002169065979431368	0.00017687958794519113	0.00010445432513339352	0.0	0.0007106911168801087	0.002474853042712944	0.0
