	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49
10101327	0.022778188420177217	0.008963657072355354	0.032662064976007474	0.0	0.0	0.019083526830907006	0.0032369679064499206	0.0011440295355123603	0.0	0.0	0.0	0.01156716934272118	0.0037645483188309802	0.0022319949056745086	0.002644820472110145	0.0	0.012040497328676595	0.0	0.023873595842042013	0.027356540057351074	0.0	0.004122726065549535	0.012616699975994267	0.0	0.01455181109628359	0.0	0.003892432559782628	0.0	0.0032081339838940445	0.004169253176428322	0.0007668960490311847	0.0	0.015994642367833996	0.0	0.011461743699145507	0.0	0.0	0.009589829480332589	0.019744260790786238	0.0	0.008786244248392297	0.0	0.0	0.0008293648838625396	0.0	0.0006351403187704266	0.0	0.015970155136406997	0.0010459301702176846
10101589	0.011032768405633647	0.00589804706370392	0.0	0.0	0.0	0.0	0.0	0.03055688897205713	0.01642069534346259	0.0	0.014526137148678217	0.003514551438786045	0.003563441603341187	0.0	0.0035847532277557947	0.0	0.00997565840702663	0.00472098484270994	0.01601682950099732	0.003586775191537231	0.0	0.005076513206842457	0.030289505824303918	0.0052967163624341885	0.00222688805862289	0.014543252736239564	0.0004793642054601405	0.0008374513276566902	0.0	0.0012170470861520503	0.0	0.010878636171605385	0.0	0.009219815929701173	0.0019787037981444976	0.008591528405334063	0.005877150186231743	0.012241844187432108	0.012744177255962422	0.005334456087632735	0.0061194780563373725	0.0035913468741961166	0.0065411867169079	0.0004905852510894223	0.016397977912332874	0.00239390814976486	0.009838651794424256	0.017423522600808594	0.0004217720990684475
10221262	0.02115566822076504	0.0	0.0020915333331760055	0.0	0.010611124779895913	0.006855377725378647	0.009224427377356017	0.01031192449195824	0.02387433626148823	0.0	0.0	0.0019624697428874834	0.006115571996629864	0.0	0.00012626438993112825	0.008347116437414622	0.006774480605635302	0.0	0.005836030175452828	0.0	0.0	0.015831941644011777	0.01743352386599286	0.0	0.015129135018397947	0.0016219128513134133	0.0	0.021519053177283372	0.0018684669962648881	0.014308403643625204	0.0006698863187999992	0.0012554657352434181	0.0	0.0037245901798661943	0.0	0.008202593959021166	0.012580688947516296	0.003576392212842514	0.0	0.0	0.0	0.02332886834573512	0.005633641830140817	0.016771539481796008	0.012155202876333315	0.0057112724339497606	0.0	0.011963320557055509	0.0021763262138317033
10222853	0.0	0.0	0.024510021206583483	0.0036353913632391527	0.00059624759603331	0.0	0.0	0.0015573003660560819	0.013760579396034613	0.02083257601734045	0.0	0.014976558586292783	0.018760367667812312	0.004723479982069637	0.0	0.0	0.0	0.022771793404308703	0.0	0.0018627695698910157	0.01704284123394354	0.0031770511192161666	0.009145457660443845	0.019419874314869225	0.0	0.0021920562895003533	0.012914002476159342	0.0002315448606454153	0.003937466775521177	0.012546526623016772	0.0	0.0	0.0005139021508943236	0.033457617872576	0.0	0.017919087418012278	0.008381200584291216	0.006798466698172447	0.0	0.006907943226518769	0.0008912129081379473	0.0018881563063046134	0.016396300642242786	0.0	0.0	0.0	0.0	0.00598707511002295	0.0020885894107168417
10248033	0.0	0.029514560262521358	0.004103959736286809	0.0056545897677674085	0.0	0.0	0.0	0.009284977795133062	0.006049074906730701	0.013435308663150954	0.015028188168596888	0.016967338861194163	0.0018614869508093586	0.0	0.0	0.0	0.0019295454470086818	0.01749033170198919	0.0	0.02136848061463471	0.005021838822034077	0.014932691502101997	0.006973096341432116	0.00943781750640002	0.0	0.0	0.015399089999972032	0.0	0.009278060757705351	0.006108367089902672	0.0	0.0	0.01583845553955704	0.016482774575283327	0.0	0.017224783422806644	0.004866413777554579	0.004575717203658453	0.020919025847322893	0.005426514384273695	0.005684000390128614	0.0	0.0031155633544851665	0.0	0.0	0.0016186365895783127	0.0019036753155785731	0.0	0.0
10298957	0.034663686951003705	0.012894882964544465	0.004011358184660656	0.0	0.0	0.0	0.0	0.0	0.02693950775774179	0.003049567036683108	0.0	0.0223116897209187	0.0	0.0	0.009502836608806988	0.0	0.0	0.0	0.0	0.004412064362105932	0.008819679000071468	0.02566670232904737	0.0	0.0	0.015466343377014134	0.0	0.0	0.02301527358387388	0.0	0.0016100096461882085	0.028958388195957585	0.004893798924277974	0.0	0.0	0.026156104690995115	0.0	0.0	0.010798598767446044	0.020759476036638882	0.0	0.008190757556809581	0.0	0.0	0.0	0.025334680730780566	0.0	0.0	0.0	0.004743312989399919
10435090	0.002753152238366173	0.0	0.014135805791002052	0.00487438594763725	0.0	0.003785554922087379	0.0	0.011741401659991987	0.0	0.01739251995144236	0.006421239311763808	0.015638863429484264	0.0	0.017355776189213676	0.0	0.0035612620777354036	0.007428398024117362	0.006371848209213537	0.01120492561559441	0.0	0.015682685608795096	0.008337296287771221	0.0	0.015040385101758442	0.0	0.005804436448878483	0.018723178923588938	0.0	0.0	0.0	0.0009277505168704803	0.025031612778535394	0.008731555820398425	0.015497022464461909	0.014824975481167313	0.017038024398860034	0.009651674211113884	0.0027207930163936607	0.0	0.0029704310071493947	0.0	0.011160780633152479	0.00909225740627783	0.0007512346816652636	0.0	0.0	0.00019225543211855888	0.0	0.0
10684501	0.0025641648223174635	0.010945306193671376	0.0	0.0	0.008177164848831348	0.0	0.0002540245980385163	0.0183502975781363	0.0006543360373659555	0.01398696722991883	0.01754889620121741	0.021143144025318746	0.0	0.0005643391536384724	0.0015308922834588359	0.0	0.0003092673641185181	0.018849692828805432	0.00976041435267374	0.012451801618037496	0.0005428901460298998	0.0032426400357213527	0.0	0.0	0.003292948155398418	0.006224075608929138	0.004433404475623342	0.006433936651186937	0.00684131618805139	0.024649587793249026	0.0	0.015871644422768106	0.004235566554482343	0.0034689210148666134	0.008889375545226041	0.0029799863685945997	0.008160144112809445	0.0023027641241773955	0.012752407419325656	0.0	0.0	0.008457039683224437	0.008909783514529873	0.005064256271000521	0.001989710897735775	0.010630383233733767	0.0	0.00045029678057860516	0.006793056469653476
10866165	0.0	0.0	0.0	0.01852072798985698	0.03187214151085334	0.0	0.0	0.010393734850340302	0.02450523640679786	0.010209363545642664	0.0	0.007703012230766196	0.007630650069656383	0.0	0.0	0.00025534036605615875	0.006786348690289329	0.019373281615061928	0.0	0.0	0.0	0.00708370072663693	0.022704456251788435	0.020811362252026386	0.0	0.006684475628567008	0.0	0.0	0.0	0.0	0.013251731884857202	0.0	0.0	0.012814484238967068	0.0005873540770532819	0.015434808336247286	0.0008061409196522987	0.0	0.0	0.011630565816846992	0.012503903886576075	0.020859144233891666	0.006401956972206763	0.0	0.010737199172410446	0.005469151250426225	0.02034612497507399	0.008452017387568568	0.0019027238218175934
11157783	0.007289498906452497	0.006018309865181465	0.004519819141885893	0.017988228714810407	0.009912627936694124	0.017478108812129165	0.012245492255581627	0.0	0.0	0.00014481501074040535	0.005122449704653716	0.0	0.010389885607568271	0.0	0.0018026895730400383	0.02126332422489561	0.0055994142867242325	0.0	0.014539889872943223	0.007341542704310402	0.0	0.0	0.019513135245548204	0.0023317864725612785	0.004831894620763005	0.0027505964776063222	0.0	0.0010808882701662085	0.002167616120050342	0.001287435194342417	0.0	0.0059281575586899405	0.019070535816900987	0.009900849525006802	0.0	0.02558023319733462	0.0	0.0034796396011357	0.004986956550596267	0.0013162829839056809	0.0007481026023621536	0.018538944114337177	0.009416599616317483	0.0	0.0	0.0037538807846108457	0.01640350882394628	0.01445508901099256	0.005378634381213417
