	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42
10101327	0.0	0.009485923318238295	0.00886758709095746	0.0	0.0	0.010960832845786523	0.0	0.013984138263100352	0.0	0.014797317836469997	0.008997260334499001	0.0	0.017483572347603674	0.0029622565422895587	0.0	0.0001038566512370505	0.009278261618839434	0.0	0.0	0.0	0.0	0.0030766498203659166	0.01270425409331299	0.00451639817622599	0.013046305142302334	0.0	0.007714594234996254	0.011080243608357306	0.011602208102680504	0.01362970053641194	0.007523178895735571	0.00977798075375269	0.008544274077660518	0.0	0.0	0.0	0.00909949441128035	0.0030460695173850174	0.0025186298804984477	0.013688999656015355	0.0063221754446475395	0.007345035652747833
10101589	0.010892480424020641	0.0003736730121148624	0.0002591309804973209	0.0022342922020581277	0.009708918187959235	0.0017885772026827917	0.0033855391179911536	0.011086647811535948	0.0004466070446910602	0.004709974859256803	0.004463995723939049	0.018511358680403753	0.002062285888374859	0.006931301711096626	0.009849592457402311	0.0020361920268846165	0.0063453697107377985	0.010695931282625555	0.002834432681118787	0.008673563804391113	0.010187326631799753	0.0010344272113778702	0.000479118441362873	0.010712002312345231	0.011728279878847423	0.0008510003390231038	0.00764886381130115	0.003110131054115553	0.010097668672814884	0.0032932829748661616	0.0035313688102358767	0.005048330688443171	0.0006948166375163945	0.009655100399037012	0.0018536303637221394	0.009733058299874218	0.0077301933867167764	0.0044530162205425605	0.009843665078120917	0.010377122659517854	0.00418006805765008	0.005345401949155757
10221262	0.0	0.015138786157863675	0.01443502883038006	0.0	0.03024393352973256	0.008012403654853645	0.005547331047837251	0.02340726569915958	0.0	0.0	0.0	0.0	0.021310310841623725	0.0010046197768936226	0.0	0.0	0.027188151506246646	0.0	0.0	0.0	0.0	0.0	0.0	0.004493095296273541	0.01471767755104863	0.005945268642868368	0.020781012366189257	0.0039030730540084474	0.0	0.027979215469961665	0.01415491334647815	0.0	0.0	0.0014659202281073161	0.0	0.0	0.0	0.0009927089871652054	0.008770011194645096	0.0	0.0	0.0
10222853	0.013677696950801342	0.007562255460534304	0.0	0.009708448257299525	0.009694327427161198	0.0	0.007963393858264077	0.0059157414929728236	0.011512828619714826	0.006689444504686599	0.01614439551145441	0.006499036148610068	0.0	0.008406445558967544	0.0005298866590063485	0.010168878976548624	0.0025865991206658794	0.002450753408584879	0.012782884862355745	0.002449780402332415	0.011605107824835668	0.00039355337216930155	0.012170486155631767	0.007527267614060598	0.008588735857150889	0.01453168692952385	0.0027893101496137295	0.0038837318243424793	0.007849766480424408	0.003781137213176236	0.0006881212955895607	0.00855743661730402	0.00559981175739085	0.01515236888718755	0.0014758556994070395	0.0016879253647442932	0.002353353525216708	0.00589563455475936	0.003196504801463803	0.0	0.011452228693412017	0.007810736766185501
10248033	0.012529566771850496	0.0	0.0	0.0020319634471192504	0.00505822389094166	0.005781061718750558	0.0036834127092674105	0.004779120954355031	0.008871568891758694	0.0035947635110879362	0.011238518817935026	0.012011808044571389	0.0	0.00782540160216836	0.0	0.0027110219589882847	0.004467789237638595	0.0011266111857868232	0.009766571273571887	0.0011483507622461068	0.015397802425088493	0.0	0.01544257985045852	0.009595171876746132	0.0007333523381195595	0.007686999454377586	0.0002010304351576675	0.0006183681396702169	0.014318314394480613	0.004424491016741193	0.0010996876743474338	0.009002918878663039	0.004884522193749127	0.0024160865144125	0.0017391446774286138	0.003181379503358036	0.023868803324817896	0.011327208838680715	0.005546439945748711	0.005801598367089939	0.008313885543564454	0.00029149288162824217
10298957	0.0	0.010158309332959841	0.008332183004113522	0.0	0.0013684392587510715	0.01247269182872124	0.0	0.0141088569045566	0.0	0.011155163866781417	0.0003123183350626234	0.0	0.02895332574778938	0.0	0.0	0.0	0.00759078144689427	0.012997009919107134	0.0	0.0150824705997357	0.0	0.008921101671362074	0.0	0.0	0.0	0.0	0.0035183373422628945	0.017442960867812815	0.01711507195764185	0.011781315967098499	0.019437704015032524	0.018787531463057706	0.0	0.0015614041834459435	0.002812705367329865	0.007753634440194033	0.014776895547391316	0.0	0.0014546480473259984	0.011084246026587466	0.0	0.010011038081716304
10435090	0.010036348668701582	0.00023727025672467254	0.0	0.009290227890395401	0.006152544293566875	0.0	0.0	0.011223155796863886	0.014368997981177887	0.009327857811352055	0.01696726683707427	0.011142562085416323	0.0010490724796379215	0.012012013613793546	0.0	0.011614248823750539	0.007691553808614574	0.0012593701664702212	0.025649306325689503	0.005676995013718665	0.007799018613663488	0.00015665670013314712	0.006242312655719249	0.006914810486834473	0.0036073558767153384	0.016240821859435255	0.010961332674701688	0.0035753435733386547	0.009506900194626347	0.0030519338782165695	0.009048411678552741	0.005596078944767218	0.0013471675543051916	0.016555518576127658	0.015513961272481539	0.0006585488843970357	0.0	0.010890188554945984	0.001342771331815235	0.0	0.006049303704955132	0.003404850439330722
10684501	0.0114046285159987	0.0038581285182868823	0.0026982188098853017	0.0	0.0015602768168839966	0.0	0.007053236334823064	0.0029312669734517047	0.0040869113943708775	0.0	0.011296006165200866	0.007891039468058612	0.0	0.006877271344975755	0.011893965614058203	0.0	0.0	0.009420983568192754	0.0044551789794606556	0.0032256355267791833	0.009064505184432062	0.0	0.012751884800021986	0.007654979592698997	0.00022222128097516345	0.0	0.0	0.0	0.005043827205873236	0.012847233448489533	0.0	0.01309184921254506	0.0	0.014852100374740777	0.0	0.007890141308331487	0.007355253098369882	0.013911697073550883	0.012497570346424305	0.014010883316753644	0.003448705169154393	0.00492506489514923
10866165	0.0	0.003790182741908729	0.0	0.022228226686769544	0.022725249693000302	0.0	0.002191951611369556	0.0	0.001958000697268053	0.0	0.0	0.02281116937228915	0.0038691351497871255	0.025334831962741954	0.0007643301953311512	0.01564473502631941	0.011657653390193952	0.00034612203153912307	0.0	0.02023450502125069	0.008024024706829662	0.0028987418041259328	0.0	0.015027614059145851	0.0	0.017350454160716594	0.0	0.0	0.0	0.009561532372318968	0.013539484027267137	0.0	0.00209783720679018	0.013693547686456625	0.008637950975707966	0.008048706173430396	0.010984422328621879	0.012252306674436577	0.0055974838701921496	0.0	0.01298246695850927	0.00015748624482941957
11157783	0.0	0.009510485476825018	0.007754103034477652	0.00432985504756064	0.0020932602972941533	0.007451747433789421	0.011472627318196281	0.006781653390508699	0.002213784870211627	0.007670566252744294	0.006253952774252642	0.0029560829533315214	0.008392758675199638	0.008881928762116756	0.006681527227354362	0.004063914187049156	0.010782210454963703	0.005812441952620986	0.004634245284777554	9.865984189655463e-05	0.004236189898290443	0.0028298424623632	0.006475232384874764	0.0003784611333373316	0.004700896733536679	0.008656432403682966	0.0	0.005515792347282044	0.0056120322957780985	0.009821571808051828	0.01103135925573619	0.0037120365923496335	0.00871078745495354	0.009306562423833953	0.013510015212949016	0.0068466823944757635	0.0033735644131474753	0.009999136715399455	0.009697317543083952	0.007710265163596013	0.006381249006860933	0.009215782005750054
11319389	0.001500198193595141	0.002141602157780718	0.013544145993121242	0.0	0.002277299250804711	0.009227683915833085	0.009884257542136355	0.015319834925889892	0.005714553415761502	0.009429812454269885	0.004558629257627932	0.006713932281979326	0.006823542598225478	0.0	0.007581054873757174	0.0	0.006653366187357739	0.0008327396761596685	0.00119458847983996	0.0	0.0	0.0	0.005278946247932848	0.008001137729926716	0.0029613585445629263	0.01069273931318342	0.01661821180150909	0.010437494199035391	0.004951848366193064	0.009155480489079406	0.01122764395344941	0.009819784747744675	0.010874499295578936	0.005962227153551751	0.004251510177344219	0.005114340031549493	0.004117889303770894	0.0	0.013523063637642465	0.0037893516052392336	0.0	0.001920046193267832
11326252	0.016388848164201848	0.0	0.0	0.0030279363217333164	0.0042781497260759105	0.0	0.004398562632008872	0.0	0.013291728982798059	0.0	0.00805442226101839	0.012019885606150658	0.0	0.004352100896617434	0.008217724572203225	0.005305674019164185	0.0	0.0003622393844212043	0.0011258126611946682	0.010850727964959233	0.009491559770194852	0.0	0.018416327386812766	0.00749092180661697	0.0	0.002202119674219668	0.0	0.0	0.0013593333031561383	0.007730866500534224	0.0012967952857697693	0.01903042870352411	0.0	0.006857700339580882	0.0	0.005433443374534717	0.015363427708365872	0.005827443140195279	0.0057561127647691515	0.008929432403932284	0.006758874036506959	0.004705307190589472
11327005	7.637403357621154e-05	0.0013712967324433856	0.0035763352774962655	0.016197749641913055	0.013525772584917623	0.0	0.005437170847872441	0.0016947995563254305	0.011735906563833626	0.0	0.0	0.01811535462106318	0.003071171802986727	0.012423789158795549	0.003021625373529277	0.010508249137997515	0.0159828158061137	0.0	0.019866216255682103	0.002712708768805129	0.016875609591582446	0.00825234884216764	0.0	0.015331751048099699	0.01165494547976209	0.017541034249121772	0.008446572261241226	0.0	0.0023132928082547754	0.005044454409028913	0.005652686245431863	0.0	0.007569364501014263	0.008255244108077478	0.004912184473226263	0.0	0.006460801329447176	0.017097063588733082	0.0052832765333667795	0.000692150857786163	0.00449296246260111	0.0035331947729155106
11345331	0.01022386743091665	0.005583393862948786	0.0	0.0	0.0053286805313370825	0.0	0.006539674625431784	0.004228635245029954	0.003938703167942198	0.0028766922518968265	0.014901226909979158	0.009493510465958496	0.0009745661413759312	0.001205066812936116	0.0	0.007414905587053667	0.001579282186295988	0.01155658506883577	0.003843668902714653	0.0030302918275449814	0.008709984077562728	0.00799756087204628	0.0027822763375194774	0.0	0.012137168660759194	0.003939452276586656	0.0	0.0	0.00798822087256503	0.013776459760666184	0.0	0.00420172231395425	0.0016951769210352958	0.008970843369501548	0.005399100710637361	0.004331542330748959	0.004947927433315659	0.0021332683199461605	0.013222024437990065	0.0	0.013104181036945252	0.011190891230804231
11392518	0.006702294915606764	0.005858417369980873	0.0	0.0	0.01360769658981179	0.0057675374978064025	0.0021310202176314475	0.0	0.005319014093388665	0.0	0.009436037850665074	0.0051388111727132275	0.00975130798376272	0.0	0.0021250949692882097	0.011537222220453737	0.0	0.008938756627999823	0.0	0.0014749680720164563	0.00888068975565787	0.006614303247471534	0.0	0.012354476969054128	0.008492145163495255	0.0	0.001926010713812741	0.0	0.0005987173811295952	0.023318496499318248	0.0	0.011120454193484767	0.0	0.005688925532209986	0.0006549877354985917	0.0	0.00834701188388581	0.0027337296679074336	0.015846066048558424	0.0073029259967995076	0.010259938772092499	0.0074505045094431
11413170	0.013132187014908347	0.0	0.0	0.0145528521977823	0.0038862330376802845	0.0	0.00033967249731759754	0.00357927011080522	0.0211181033549576	0.0	0.015732558017317384	0.014147532254803077	0.0	0.023281439903567003	0.018201833592657486	0.008401931676688793	0.0	0.0	0.0	0.0015560105010313597	0.0	0.012832524621505241	0.0	0.01683534625801053	0.0	0.009937183830381504	0.0	0.0	0.0010344508681362087	0.0	0.014128233389979183	0.01788322804258051	0.001193237791649676	0.01313084512431337	0.005697675390416001	0.0	1.534840004685499e-05	0.021965144424227482	0.0019886592079305897	0.006759328075101275	0.004326943796713704	0.0
11453772	0.005021906994610772	0.004536884811114355	0.0	0.009928736372415963	0.015463992592386143	0.0	0.0	0.0	0.015017502952211157	0.004201840212940731	0.006925851170178497	0.01658672231995027	0.001034320868617675	0.012683040660644096	0.0	0.01667718765053108	0.010534085140560466	0.00034959621992366996	0.01742481394013721	0.010916855226570018	0.02280254631222564	0.014430741252232888	0.0017788919775253576	0.021249259906251955	0.012531448793735177	0.008033176152525492	0.014680763241629438	0.0010707118647405452	0.009957362129843295	0.0	0.0	0.0	0.0036882602183155254	0.003323795639320355	0.022621753360960527	0.0	0.0	0.010644539127889254	0.0	0.0	0.0180389151870985	0.017756332404718772
11606935	0.01652025709314991	0.0	0.0	0.005261805285374004	0.008173771358364343	0.000487681865138251	0.0	0.0	0.022257751133241483	0.0	0.0036755713956206993	0.00799303199924863	0.0	0.0	0.0	0.0017781120142217792	0.0032107386797333996	0.0	0.005408317332164722	0.0	0.017113867228597462	0.0	0.0	0.008710309430241828	0.005699077824631921	0.011122555542193421	0.0047102792879515736	0.0	0.0	0.009864801708312072	0.0	0.0	0.0	0.0	0.011521356986156936	0.011604804322381602	0.0	0.008119338672901797	0.016505669515095668	0.0	0.0	0.007704171282107494
11616707	0.005079428321352406	0.0013114645644177506	0.012245822789668842	0.006583888193593414	0.008248336601536429	0.003755864700349111	0.009955854898012474	0.006425750716652286	0.0019502856010492416	0.0	0.010156970885198608	0.003636418907358396	0.006248492553078319	0.002891527552214923	0.014816643324022305	0.00689449825923889	0.0020671068977426137	0.0035235879991584976	0.005186905386026852	0.006067223058565243	0.005028073370567381	0.003744056537817003	0.004057604947494698	0.011063010131864146	5.488083798680802e-05	0.003932111297815849	0.0014543853020199304	0.0031431326376541446	0.011244524674308967	0.012397289702520825	0.015894137608993553	0.013963892046954448	0.0	0.0054672245640274165	0.007130904713233285	0.0	0.010162453373725419	0.009362016411063583	0.008073630635698813	0.010754152815006574	0.0	0.008497699017922813
11619606	0.007584803899603078	0.0	0.00771998739618736	0.010704714903233273	0.009924881046844277	0.001998458735370486	0.012708922841599126	0.009266015709449384	0.004318777742759759	0.000822302968193401	0.010270284346679407	0.013912808091463169	0.0	0.01442817984908192	0.011944686068593639	0.0036501476522855505	0.0046477987381573875	0.0061498185814260415	0.008805040084638772	0.007402596795705311	0.00996412145930718	0.0	0.008925988415817402	0.013188076301145261	0.006026225758929776	0.005704934526926921	0.0016037590247490092	0.007147843099279423	0.0021764632473036433	0.009888991804690385	0.0068344193862568195	0.0013110697108989157	0.008102269555602448	0.004345691368966552	0.011792552311986625	0.0004887088992186967	0.01319907193640438	0.0040211724005549615	0.004353167063526731	0.007188455979698456	0.004510250809582359	0.006238764735269303
11652071	0.011974636827315501	0.0012107559398499834	0.0010875109534933555	0.008005153038595789	0.006592321120387618	0.00319886225072896	0.0012206091575130192	0.006012516994143232	0.011064958718728124	0.00491643102898736	0.01684539434671709	0.014737466954047656	0.0006142664884657997	0.01496688317304209	0.009730724391650611	0.0031445163430805704	0.0020320689505208944	0.009201144402636774	0.0017073749716794429	0.013291004334278126	0.0032829789425329386	0.005529084316651174	0.018498977630899183	0.006194047255227233	0.0	0.010950770947346585	0.003642606969396538	0.0	0.011510436225263517	0.006258509037688611	0.013231181178124283	0.010784190828814008	0.0	0.01427852524681631	0.010562424230648631	0.00391616841295999	0.00113672925644228	0.0016847907509326089	0.007253995212606092	0.0024094315866291707	0.002027306498933941	0.007582759265285415
1243685	0.0	0.012771724128138167	0.010821213160600994	0.004860461587900874	0.0	0.0095315643072596	9.88916376647335e-06	0.019752527823204278	4.277676709540946e-05	0.017761523396500695	0.004288882276063446	6.499950871692458e-05	0.014689897744052913	0.0	0.0044569026262312504	0.009990596977401853	0.007866072794388548	0.00417829152685444	0.0	0.0006191676549065754	7.453053891808146e-05	0.017101570809973224	0.0	0.00010048563050732977	0.0	0.0054427662976000825	0.010147140444461114	0.004329687614754958	0.014025172740247099	0.009109299334260676	0.006315763855256815	0.01199599996693893	0.0077857742998259875	0.005300775036986953	0.009475393011811264	0.019131548209650608	0.0	0.0020494449852676436	0.0064662894989927595	0.008158340480951461	0.0030182145925234873	0.007755172896205583
