	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
KDF1	0.00031936995409993855	0.003929965478506187	0.0011902476470977146	0.005409277230798283	0.001247506732507193	0.0003851506665844677	0.0	0.0030690580435103173	0.0	0.004676626100491119	0.0	0.004641935534249809	0.0016096784536836902	0.0	0.0020297163549678173	0.00016747262846433745	0.00031191087442633694
HDAC1	0.0	0.002404962161544108	0.005493485709141883	0.0017508183153708743	0.003426051447807833	0.0	0.002511474294088963	0.002860385251031133	0.002300417058656013	0.0025272620851580037	0.0	0.0013463999470154514	0.0	0.0	0.001416607108809477	0.0010312808423797973	0.0029353554745898867
GJA9	0.0006441620834943183	0.0	0.003940942449128251	0.0019195162834666883	0.0013328168073497588	0.0008171992544659094	0.0	0.002009504013664173	0.006964633147398428	0.0017791621217563207	0.0	0.0	0.004960791598235136	0.0031890407356181785	0.0	0.0032864191696718526	0.00038284350054080705
HEYL	0.0024471863733912733	0.004239750388835093	0.000667937381630984	3.161177226983597e-05	0.001740837927699248	0.0	0.0	0.0	0.0007463521225566714	0.0010248924984792589	0.0034129994298433075	0.0	0.002441313812707407	0.001717926746886089	0.00505417000159854	0.0062148928717849486	0.0019805671561583097
PPIH	0.004552454494469692	0.0	0.002272252258704912	0.0	0.0025863987851099095	0.0032365205142965104	0.00104985416803291	0.000360563984452297	0.000955650846387148	0.0	0.0021638325435638967	0.003073647557918392	0.00433093367047584	0.0	0.0	0.0010132943276280782	0.0023468301168683477
ERMAP	0.004561693430078876	0.0032161410233866768	0.0037822852225692567	0.0	0.0015443901850097062	0.0011019730879126232	0.0	0.00043542347759745274	0.0028881427588674105	0.0	0.0009122162174072364	0.0003670953342448815	0.0	0.00203038086820062	0.0031187619555435118	0.0011617406142227322	0.002603334977066289
CFAP57	0.003463208312002817	0.0011684152096696839	0.00021406297698924937	0.0005376126354374476	0.0042387158493737455	0.0019360147913622969	0.002731086919208261	0.0	0.0027278018285686275	0.0005556272041995309	0.0011731437887584828	0.0010446886489273346	0.00493696825730683	0.002928141145643222	0.0	0.0	0.0
SLC6A9	0.0029969590685895017	0.0	0.0026035903986984747	0.0019094868596555817	0.0010602193580711897	0.0	0.009900337646861778	0.000847483472066354	0.0	0.004609474595822128	0.0	2.7397632420641306e-05	0.000281593562196928	0.0012617353291329097	0.0016172920595888228	0.0	0.0
HPDL	0.0012642786895067288	0.0026989121660102285	0.00368843562019735	0.00021459945939138444	0.0	0.003839203386903406	0.003199783810138033	0.0020037138721194217	0.0	0.0007580305264064059	0.0035090024468656367	0.004579052731225889	0.0011869849580449946	0.0	0.0006708204565427346	0.00022558064430131146	0.000367467494250998
NASP	0.0	0.0011205700662911587	0.004560324137590149	0.0029010882855906744	0.004168821350725442	0.0005714521034278077	0.0	0.004291305570537221	0.0	0.002027133790548098	0.0	0.0012141836422661324	0.0	0.0006983011479189545	0.0030316995228701718	0.0051532997882925225	0.00112744214110812
DMRTA2	0.0001739982081578114	0.0029348517226609806	0.001182417261041191	0.0	0.004061676135864363	0.0	0.004452431642390779	0.0012068996188744306	0.0030370366308397133	0.0	0.0013453814143149553	0.0	0.0	0.002684784784522898	0.007563381061306546	0.0013561971531609826	0.0025628675473403414
TTC39A	0.0	0.003513994573231465	0.0005317340025345333	0.002262932869553736	0.001798602572007096	0.0	0.0014082914206897305	0.005779266345770239	0.0018146778043974876	0.003254954854040978	0.001375111442087563	0.00048814539173825576	0.0026592072854131027	0.002368295491601849	0.0013052610787596868	0.002000449167527457	0.0
SSBP3	0.002397052024368365	0.0004878952989923989	0.0053653486813816055	0.0	0.0	0.006592763400218146	0.002105422234971075	0.000478385566544099	0.0034752142219891357	0.0	0.0009737910154076824	0.0014335768672441393	0.0009733912337080578	0.0	0.001307606960641627	0.0009796362299901663	0.00022645917113729597
