	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46
10101327	0.011863384687447189	0.0034978072180542317	0.0027060334032015716	0.011574102195111305	0.0	0.007530294608968427	0.011962049817351642	0.005999549420537031	0.006294805252460767	0.007661110684736334	0.013870378886519538	0.0	0.017240837768202028	0.017426806601815382	0.0	0.0	0.0	0.0180894593360447	0.0	0.0037243378394473375	0.0017840385191467286	0.0	0.006021705638613275	0.0036885090831234833	0.010206865129885355	0.020395926918217025	0.0	0.0	0.002130428591622306	0.022225467760193792	0.019295368216525763	0.0011524554255104274	0.0013831356813399523	0.0	0.014634364399713868	0.0	0.01082612582150044	0.0	0.0	0.022306509466239632	0.0	0.0	0.0035643769155853946	0.0012320321475359148	0.011864075645959933	0.005411969260328062
10101589	0.005007974164264256	0.00511974136420625	0.015042308218696865	0.003909610494771388	0.005370075439473035	0.0	0.0073362155155527594	0.00879836325229695	0.007145592386536854	0.0	0.012403767412263705	0.013496636472309986	0.0024615435847374	0.002640125737512511	0.0028178446914427836	0.014106347724053458	0.007526773068718216	0.003647514113179446	0.005736141273624095	0.004161947095717754	0.004164116378313824	0.0	0.0006486099453075603	0.001328626913743881	0.007413121241391262	0.011242958484213446	0.011554563858263443	0.004349011317960468	0.007519252098182201	0.009585863373019143	0.014610229017713874	0.010411894859458294	0.00206936323672183	0.006149115499829293	0.011092902396970897	0.007525858975829366	0.011147955597320016	0.0	0.011296542499281796	0.0063848977892388	0.006452921825436851	0.007595538049828496	0.00782242288609667	0.00919966018911625	0.0	0.007065435503592324
10221262	0.0002174229376252821	0.0	0.0	0.025312810110594625	0.021821579066342266	0.00566457246868039	0.0	0.002080042148525082	0.0	0.006075810410183718	0.00023916412875660704	0.00784662817541899	0.0	0.0	0.0029088051111845646	0.0	0.003123653191696005	0.020231329629858432	0.00038365597716112583	0.006153642787898457	0.019484089826837057	0.002753448917070953	0.015546575552983348	0.008335552960477792	0.027743884710909755	0.0	0.0	0.0	0.0	0.00379920001474496	0.01398355355105917	0.03344788261514244	0.008050712888230529	0.0	0.0	0.0	0.00654904345301626	0.008347918585548602	0.003956172027324481	0.0	0.007012727507155969	0.013097118072366373	0.0169202799577566	2.6367930136181404e-05	0.0	0.012178266673510388
10222853	0.0016624093502382346	0.002477931704230398	0.014305732526383943	0.0	0.012827176082199378	0.007359934005800864	0.009049584312797083	0.019292585227660832	0.004859494900960262	0.008585578509641398	0.005071550744938313	0.006577843966794105	0.008704897698723428	0.0	0.009875583665099025	0.014485239939208657	0.002409432708163759	0.0	0.010641215596815645	0.012722428212969442	0.008861444107340292	0.0053186010154946655	0.0	0.0007902466443335532	0.0024926374051768554	0.0010868028541317907	0.009269913259723487	0.007395206716938026	0.00737495818007892	0.0	0.0014463943998129082	0.018820403480836495	0.0012460548965190063	0.0002841477316348334	0.004161180881703957	0.011353328807358162	0.0	0.011305342089005927	0.0007940109848306725	0.014526876335863194	0.0023623491724261195	0.00592860085394458	0.007587873979245999	0.0034071236309918887	0.0	0.00895506340427644
10248033	0.0015426478307310654	0.003804104967298034	0.017719706913534087	0.003970223616803932	0.0	0.0026560818665176318	0.010174780902520135	0.007160893000193403	0.0	0.0	0.0034272375343065136	0.011967465022789298	0.02377974126840158	0.003782715728681632	0.0	0.01131193768877702	0.008316238418706448	0.0	0.012803579384297	0.012009568323132803	0.006577958035467204	0.0	0.0	0.0	0.0	0.015576225798024389	0.003217859287864503	0.0014659577740155736	0.0023783546336938865	0.012014918641530955	0.006323945849132522	0.008834045144726603	0.0	0.010578478867378534	0.006540759534922326	0.00802210761644258	0.008789592130965173	0.0	0.007486402457716188	0.011771610000349944	0.00801753529311476	0.004593320439679575	0.012830050725354772	0.007062393279573129	0.0026476317651394935	0.00549540619337386
10298957	0.015538732946484104	0.0023621792979132777	0.0	0.020101657680637916	0.0045361236989135455	0.007575406199233155	0.002263632143269642	0.00677711951696738	0.0	0.006607987981085978	0.016533416344457992	0.0	0.008381181451078556	0.01999197949706111	0.0	0.0006230406833207904	0.006206791736313302	0.016471363658642647	0.0014974330636571699	0.0020575611103232734	0.004536887238901139	0.0033898351675369963	0.010080426392465255	0.0	0.012095624852906682	0.024652640459451317	0.0	0.0	0.0	0.008858948415574308	0.01064839608484726	0.004253428410149329	0.0067859263645324375	0.0	0.005210128229231165	0.0	0.016689040285306468	0.003097082499455346	0.004398666063426084	0.004044668644636276	0.009328883643430194	0.02084804531795417	0.005713575997783743	0.0	0.011223051766930637	0.013711277813838836
10435090	0.0	0.007643064132091009	0.020924890719295906	0.0	0.001295257562466538	0.007296154149888966	0.010514993556173958	0.007406790563014221	0.0057423565166893455	0.0026243366010311126	0.006060958410884429	0.004650605107868756	0.0037593892605643445	0.0026505512767631503	0.014252317235425818	0.012565071312376608	0.005824220560811152	0.0	0.005643635763265117	0.010943847281261057	0.00753143656634067	0.0009337420669344141	0.002160350967053057	0.009855977936049573	0.003829795945354403	0.00968561216494321	0.00803863824831948	0.009572089532254345	0.004052235954100736	0.007066320268673064	0.0016327811732953954	0.009485587150469299	0.0025539888589833338	0.001489130021429848	0.016539729416752334	0.00691643750438678	0.0066397244499856855	0.005926168099478881	0.0031873244424864824	0.009433596896534243	0.003652893207905396	0.007362347488936076	0.014312518924483323	0.004017639945699009	0.004844648443983758	0.00790166827959994
10684501	0.0007480160518206565	0.0003024738526149404	0.009851391167833031	0.0023326983532995413	0.013175725009613662	0.0	0.0	0.01199848424753548	0.004632270055430934	0.0	0.0	0.011177761707594595	0.003281722447335522	0.0011155663142130238	0.010075387142774077	0.0026049358479416597	0.012456668516644133	0.0006807543380838532	0.004202519567083763	0.0054938961614074844	0.0007689924581994992	0.0069145871071724955	0.007614868682542932	0.01437203328114125	0.0015775789846701378	0.006691796777839882	0.009719907917977968	0.0	0.009071308121394155	0.007041982631224856	0.0037209347755492216	0.0012743323723109498	0.0	0.012495982283914965	0.0	0.007292158208881959	0.007363330425863179	0.0	0.009828735254311102	0.010566351769962722	0.00821454784039167	0.0007370205403076909	0.007450838027876082	0.012928054391590194	0.005631160258118228	0.013138274837273726
10866165	0.0	0.028951100258078687	0.009736596001413758	0.0008077110949887733	0.03246983042973407	0.0	0.0	0.0	0.0	0.0	0.0	0.026774398287823162	0.0	0.008672325396585646	0.014378809168797848	0.008727277705160557	0.008100729909836206	0.0	0.0	0.005861551017374579	0.03172859079377388	0.0	0.015916361634786727	0.0007102238773945227	0.0	0.0	0.005407321415653218	0.014533039704262445	0.0	0.004528635079634979	0.0025330889411402696	0.0	0.011576922436025162	0.007840398521586049	0.0026229358938150995	0.005114671704925595	0.0	0.015791001866355993	0.004913901875201444	0.0	0.01104862056498931	0.013031470046524952	0.0	0.0	0.0	0.0
11157783	0.006435489584135207	0.014999664304138644	0.010271325631390509	0.007434597676243911	0.009991372547529652	0.00461566521215958	0.004695498078978868	0.0007195854251374057	0.0	0.002421802275767887	0.0	0.00347086862916448	0.008226239129121677	0.016343931957492553	0.0028645515148645615	0.0017849048447719732	0.0	0.004512517050353984	0.0	0.005679574762550764	0.014826916222407902	0.00951767009031618	0.018867968479005345	0.017987952261007047	0.0013008736795460754	0.004327094424082215	0.0	0.005067836716966685	0.003588244323358296	0.008341452667881857	0.0033524014714569595	0.0	0.0	0.0	0.0038931133280635743	0.010536472458911475	0.0	0.014952380165774303	0.0008061519406053953	0.008746633151867958	0.012954027798538811	0.0	0.006203064790916858	0.005745040124559858	0.015347617558492684	0.0066793448874752056
