	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49
UBIAD1	0.0	0.001731733096726859	0.0	0.0	0.0	0.0	0.0020996358319400285	0.0	0.002686582819977708	0.0007655808270959065	0.0014824233279330168	0.0	0.0	0.0010659624498232526	0.0	0.0019604819100144154	0.0	0.002558038758062645	0.0010410653612791534	0.0	0.0	0.0011619487439008171	0.0	0.0004800366099050986	0.001297530407519256	0.0	0.0	0.0016162469098762447	0.004207394920564691	0.00022051849035012517	0.0	0.001727040839057718	0.0	0.00014311718287447005	0.0	0.0019118519633640192	0.0	0.0	0.0	0.0	0.0	0.0007259016082294097	0.0008014008939831269	0.0	0.005767596037587315	0.00199158488452165	0.0	0.0	0.0006183494189498822
FHAD1	0.0005347156406630369	0.0	0.002018321495489133	0.00035217218556750466	0.0025960383995242853	0.0	0.0	0.0023574561045418786	0.0	0.0018818677049426459	0.0	0.00378742375764715	0.0	0.00044358508698180346	0.0006185153074619512	0.0	0.00035819387357915875	0.002536123603392256	0.0	0.0007893178500490104	0.00022234907616950345	0.0012972553641078647	0.0	0.00016235628781837585	0.0004383605993216362	0.00021019895420368136	6.010743716799428e-05	0.0	0.0	0.0	0.0	0.00133757141734151	0.0027012623563639282	0.0	0.00614166525354844	0.0	0.0	0.0026725588267834046	0.0	0.0	0.0	0.0	0.0007337458793323658	0.0018083343241167543	0.0	0.0006991892409383953	2.4841354463976998e-05	0.0	0.0004443716109823113
EMC1	0.000287161549112205	0.0	0.001331917430133606	0.0006300170506477863	0.004548870402982053	0.0	0.0	0.0	0.0	0.0	0.0	0.0017258402793728104	0.00024795227542820717	0.0	0.0006688316161015488	0.0	0.0	0.0026255511866206823	0.0	0.0005750036016765735	0.0	0.005392368642380868	0.0	0.004476404151769347	0.0014685253217330708	0.0015021837006968261	0.0	0.0	0.0	0.0	0.0	0.0	0.0002424624384430562	0.0	0.0017647542687983316	0.0	0.0009624366145978887	0.00349760716259399	0.00122893176671816	0.0	0.0	0.0	0.0018887134395356071	0.00015110028347666577	0.0	0.0018630917866019573	0.00027823311123720035	0.0	0.0
SLC66A1	0.0027271237852491627	0.0	0.004724900185452886	0.0003965649199574091	0.0008614645484970352	0.0	0.0008462785895422845	0.002703098037294049	0.0	0.0	0.0	0.001541017179639924	0.0004253635202457303	0.0	0.0	0.0	0.004689049141290774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.664620006713449e-05	0.0	0.0006237304975999652	0.0	0.000665521206800999	0.0	0.0	3.2726171475815655e-05	0.0019244208369420168	0.0	0.0015912949357930043	0.002309950662557412	0.0	0.0	0.0	0.0	0.0	0.0	0.0020626763328062243	0.0035944877626234947	0.0	0.0022406810218903767	0.0	0.0	0.0037585541789558834
HP1BP3	0.0012680410432597431	0.004618337714151943	0.0	0.0	0.0020575246472899138	0.0037290240471206837	0.0016905213333329075	0.0	0.0	0.003330755082066398	4.536943036402714e-05	0.0	0.0	0.004154860107138098	0.0014427038148319433	0.0	0.0008818899686399151	0.0	0.00044360765695662516	0.0	0.0	0.0	0.0	0.0	0.003967104085820538	0.0008796565028942984	0.0003733976771796147	0.0	0.0	0.001391152779993741	0.0	0.0	0.0	0.0	0.0012073237130299664	0.0	0.0	0.0	0.0009286254593689854	0.0	0.0006451965904056973	0.00042492070890078184	0.0	0.0001103850773066188	0.0	0.001672026020870238	0.0	0.0	0.001121525174157198
C1QA	0.0010012517095464878	9.392562099454984e-05	0.0	0.0	0.001035399517596514	0.0	0.0010523993709621237	0.0010201822450838069	0.0009898925248648124	0.0	0.0	0.00045237727844916743	0.0	0.0	0.002317528206063445	0.0	0.0	0.0	0.00044025963810451213	0.0	0.0	0.0006877832382155592	0.0	0.0030813321993148498	0.00010928235736367658	0.0051990753521968585	0.0	0.0	0.0	0.00119246253269123	0.0	0.00564942014425508	0.00082468591874744	0.0	0.0	0.0018254442643911674	0.0030092109266448546	0.0	0.0	0.0009708694723958303	0.0	0.0016847301141884633	0.0002221694315152784	0.0	0.0	0.0	0.00496321812952809	0.0	0.0
E2F2	0.00011548502896507601	0.0	0.0	0.0022169140791765147	9.102317785243995e-05	0.0006298732247702371	0.0017591048061016965	0.0	0.0005501503179983273	0.00028622763277227697	0.0016782051599628202	0.0	0.0034476962171791827	0.0024938028056681783	0.002302673890694886	0.0	0.0	0.0	0.0	0.0	0.0010381886126161026	0.0	0.0027817460473325796	0.0	0.0	0.002343067635827057	8.288437648985481e-05	0.0033767770889123498	0.0	0.0	0.0005891548730392846	0.0	0.003419602277309591	0.0008168231285322131	0.0	3.977922555633703e-05	0.0	0.0	0.0	0.0	0.0020944506672429214	0.0	0.0	0.0	0.0015608148775210502	0.0	0.0	0.002610854170252131	0.0012738253682635333
HMGCL	0.0006007023435502017	0.0010782818939739142	0.0	0.0	0.0014542118915429941	0.0018751324411401518	0.0034322925862594112	0.0	0.0008118940493458324	0.002584683361538351	0.0009790013785002832	0.0	0.0	0.0	0.0	0.005959449913618973	0.0	0.0	0.00029342204739704185	0.0005550664423583864	0.0005023132925623388	0.0	0.0006336794351488414	0.0	0.0	0.0037804515952451047	0.0	0.0	0.00018035126134088273	0.0	0.0	0.0	0.0	0.0004859860869582138	0.0017544792111220606	0.0	0.0	0.0	0.0	0.0	0.0	0.002586470587625776	0.00016401592909336813	0.006470403611534352	0.0	0.0	0.0001422466305916975	0.0011058192304121161	0.0
GRHL3	0.0018092802058873498	0.0	0.0	0.00018771973141515862	0.004119022664250563	0.001913977138253922	0.00013844900049692462	0.0	0.0	0.0016657752605470084	0.0	0.0	0.003118422407473191	0.0004937518621227723	0.0	0.0	0.0	0.0	0.00026333921536789026	0.0	0.0	0.0	0.00018979709179214307	0.0	0.0015028159554557445	0.0032777515663868204	0.0	0.0015151705167093755	0.002420568095817297	0.0	0.0	0.001442501670343149	0.0	0.00297297543966818	0.0	0.0022637868713952353	0.0	0.0	0.0	0.0	0.0038224248114538182	7.636122604447311e-05	0.0005790977835685368	0.0	0.001870760016119451	0.0	0.0	0.002096545093447118	0.0
RSRP1	0.0	0.00015861963882198818	0.00018088614164481535	0.0	0.00021217744217242498	0.0	0.0	0.0012548069215887073	0.0	0.0021501065896397937	0.0010512427761104365	0.0009874874971771074	8.914615921607097e-05	0.00039620132837231653	0.0	0.0008559914473117677	0.0	0.00416183661994238	0.0006431195013679951	0.0	0.0023171729680040863	0.0017850227897281896	0.0	0.0	0.0	0.0	0.004142145424694581	0.0	0.00013669846402443434	0.0	0.0	0.0021027575473282836	0.0	0.002539188005141629	0.000552660607932474	0.0008022830689081481	0.003434691029974652	0.000655297105602612	0.0	0.0012068598862142728	0.0	0.002767190443525841	0.0008842859349852584	0.0008203895388440736	0.0	0.00017614838352042835	0.0	0.0011135327381395356	0.0
