	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14
ROR1	0.0	0.010767601212817586	0.0	0.0	0.0019991977604174632	0.006492963999651097	0.006634288560579766	0.0014867105878503713	0.007300214773663945	0.0	0.0031770927613257853	0.0025855719205490632	0.004428302281431959	0.0042856222873056925
SERBP1	0.00855579017088895	0.0022529042280642828	0.0008384533330399425	0.001955359200492969	0.0	0.0	0.0	0.003659541184515869	0.012829574187091256	0.0	0.006718522160618426	0.0	0.008528862616469774	0.0023874985427551807
LRRC8D	0.0	0.0	0.005992686979860698	0.014955432662540928	0.0	0.005448036027905107	0.0013588367629040446	0.0127475301097698	0.006736430175646931	0.0	0.0	0.0013819243736721922	0.0	0.0
FRRS1	0.00048378139517807426	0.0	0.0	0.0	0.008904991019545158	0.013450884830939263	0.005851649330402822	0.0022674541437882586	0.0	0.00813060832022537	0.0	0.0	0.009252251074204576	0.004561659761254741
AMPD2	0.003466749122022624	0.010443340757052118	0.004723784374195202	0.0011968001232035546	0.0	0.00022650278228170963	0.0034418890824268918	0.0007032562031502201	0.0006295585192352024	0.0	0.008510835389757417	0.0	0.006339550307073675	0.007943467532943662
SLC16A1	0.008196321857934707	0.0	0.0	0.0	0.0	0.0	0.0	0.005228892362659599	0.003404263538916714	0.007829768758260337	0.0034116238124500043	0.016881658323382575	0.002129173191822643	0.004819929744296658
NBPF11	0.009444757725258176	0.0	0.0	0.004725504812055513	0.000750563122535316	0.0	0.001128139872663957	0.0009743678849404497	0.0	0.008643547091948848	0.0070037324837825005	0.009794839928111055	0.0	0.007365398828622866
CIART	0.006767531537129742	0.005384471157997408	0.0	0.0022514627461407834	0.01005888912704456	0.0	0.0	0.0	0.0057923651392767644	0.0	0.006457288783895491	0.0024463547097253934	0.002463182279508041	0.005321003457051275
PI4KB	0.011756413442683418	0.0	0.0	0.0008168477056830925	0.0024279433484419265	0.0	0.009895853607788935	0.0018993851796636132	0.0013825931480448551	0.0034997165070365798	0.0	0.0	0.0061317811122140525	0.007172479672083039
TDRD10	0.0	0.0024066323148968626	0.0	0.011781615027138677	0.003242556308589422	0.001678490620620253	0.00831932977873559	0.003461536496305148	0.004236888446389749	0.012787104076408781	0.0	0.0	0.00047519065695974264	0.0008589544269933054
ZBTB7B	0.0	0.00884290859312657	0.009324908578827552	0.003961091824418543	0.0	0.006566980259505048	0.0069518148578222305	0.0032640070730118255	0.0015600433889837453	0.0	0.0024325247669620214	0.0006795468042955765	0.0	0.0
IQGAP3	0.008212690784870419	0.008710576117912807	0.0	0.0	0.002558569822144566	0.0	0.0	0.0	0.011636262008431007	0.0	0.0025616546122821837	0.007895588122772065	0.0	0.0014485407105379086
TMCO1	0.0013218401845726947	0.0	0.0	0.004305339014131784	0.004580274075059208	0.0	0.0	0.00570282027705016	0.006461612740368894	0.0160275383359573	0.00377688784586475	0.0026319642927377595	0.0025192580576278312	0.009506413867262361
PTGS2	0.009131301172073907	0.0031455117947130173	0.0033017817619563294	0.007420802935754278	0.0023497564073210507	0.0006396927564661382	0.0	0.0009626093003015643	0.0041109602186207165	0.0	0.005963816952244904	0.0010790630201801504	0.0	0.0047013814660040905
UCHL5	0.0	0.00663562954967601	0.000660674451341421	0.0	0.0001279878304113281	0.006919737508161006	0.0012333424389521653	0.006731441873082336	0.008592819948612015	0.0	0.0	0.015421339887349476	0.0036086550194869378	0.0024228287922514282
CFH	0.002951131299713885	0.0018091301612993996	0.015820999445387215	0.0	0.002245781429205645	0.0016182768974796163	0.0	0.007426975510718207	0.0	0.0008754977930214378	0.0053935316716799825	0.004697516700755027	0.002195670565446197	0.002951059292238882
KDM5B	0.0	0.010299632939930815	0.0014153130296142935	0.0019342366494906557	0.004927115246757875	0.007013751142430035	0.006533739507745515	0.0	0.0026814244460715707	0.0	0.0	0.007309755257330094	0.002423339771937453	0.0029558210115122707
NUCKS1	0.0	0.002328017182340834	0.0	0.0	0.009089641642653008	0.0	0.00858511115589764	0.0	0.006615955242103431	0.009514540914694383	0.0014321337866873693	0.0	0.01734133979762484	0.0
TRAF5	0.005249354926980447	0.0	0.0	0.0029769632008474563	0.003813202126583718	9.328051323541162e-06	0.0	0.005881414624307117	0.006913988346871045	0.005628935279427899	0.01096439316222141	0.0032813350775530896	5.2458882498111234e-05	0.006880679596381203
SLC30A10	0.0020564691934383075	0.00915635148615708	0.0046991172210723185	0.006076978262217987	0.0037214358520924456	0.0	0.0	0.0010821797332505793	0.003350941393175907	0.0	0.0057139678503105905	0.008765454408292187	0.0007164928056282177	0.0
RBM34	0.0	0.0043770367733353245	0.00607688899674947	0.0020344432755082143	0.007709247186814067	0.002241456830741912	0.0011331898148390883	0.0018791355899586007	0.00416995338269326	0.0023337316469415393	0.006136895676525281	0.002211177222727408	0.00500294908146631	0.007276250759759017
WDR64	0.0	0.006900340273124642	0.0026764906615460342	0.00038075462007560417	0.004782163343410574	0.013419953709282962	0.00375909977582004	0.0	0.00016284923401248337	0.0	0.0037982305267728446	0.005800289909909134	0.0031767516137288098	0.00513341887379414
KRTCAP3	0.0	0.009342195643718987	0.0025767454912298026	0.0	0.005549542235270116	0.006102804240609025	0.005487234959636901	0.0	0.0	0.004318799956602387	0.006493727747447479	0.0	0.0025614971454290835	0.007934799171928119
CRIM1	0.0011292634399916036	0.0027131909015714025	0.006665623921748949	0.0	0.0030530030922837482	0.0	0.0032147036808838534	0.0014384191684767486	0.0046334469386648	0.0038633129540312015	0.0010963102345954551	0.010812269131642242	0.00668322996436341	0.011114688424128369
SLC3A1	0.003273495041391045	0.0	0.0011157135034269967	0.014314352688168944	0.0	0.0025597006946551943	0.006731667371965508	0.0008996852218474288	0.0	0.011742511404428887	0.0	0.007153048350089855	0.0	0.0
CFAP36	0.01296836774572519	0.003498173465804581	0.005126944041788577	0.002484725044499528	0.0027268551631360123	0.0	0.0	0.002214855389571543	0.0	0.0	0.004590818426659707	0.002156253841966821	0.0005571756205341757	0.00213899616986499
RNF103	0.010595494007994366	0.0010055662016645922	0.005681811090102121	0.0	0.0	0.0	0.0	0.007639434545958969	0.007315308099382471	0.0	0.00409849757884978	0.0	0.004162895890214792	0.004129504254650308
MAL	0.0	0.006210383048067389	0.004578911304746919	0.0005558257169432387	0.001800555692914267	0.002600309860476258	0.0010211757631609442	0.0006595264308132555	0.003925684247038767	0.006419763567794791	0.005016435634224975	0.008413872266908427	0.007960718878630549	0.004964924593533206
ANKRD36C	0.0	0.004332708594278546	0.0024861049697537203	0.0	0.007995469407002392	0.011179603869065944	0.0	0.006601030107404187	0.006575081094904076	0.0	0.0	0.0	0.009909121091863793	0.0
LIPT1	0.0011019676188732679	0.0052135220139976944	0.0	0.007247200736168848	0.0029818665568545947	0.0007472419539231189	0.0	0.0029920676729707487	0.0	0.0062213402833916995	0.012022084801601995	0.004506119443838482	0.0	0.012136603626488739
CD8B2	0.0	0.004515843543864273	0.0034672808687053907	0.0021862726902773856	0.016270401337624665	0.007781466616642495	0.0020133360031384245	0.0	0.0	0.0	0.002113926592767506	0.002842646625945447	0.002792777648530177	0.004724432084126702
IL1B	0.0033384236552379725	0.0	0.0	0.00624272312385156	0.007262494332799113	0.0	0.0	0.007351595600091362	0.003808645037877981	0.007705956287781177	0.006528470127592969	0.0	0.0008726049294780264	0.010249700786928799
RAB6D	0.0	0.0025875841051955497	0.009246459980369987	0.00684194597592972	0.00782818263027765	0.006768741288478724	0.0	0.0006895541771919592	0.0	0.0	0.007011426993071049	0.0018714330243780007	0.002919048072658582	0.003846265763717433
PKP4	0.011558538960042306	0.0019143606633535547	0.0034325147784956852	0.0	0.0041559808663788915	0.0	0.0007735751714418498	0.0017728146379892078	0.00642322924451539	0.0023075813902108475	0.004263160587912555	0.0	0.0	0.0066444336695113005
TTC30A	0.0	0.00047587837749082717	0.0027942740305986254	0.0	0.009508680830615058	0.0	0.009946940669297565	0.005680133390542908	0.0	0.009455782421281648	0.0056161921717459585	0.0	0.008583344217296033	0.0008010034844716672
ITGA4	0.00013842765256270753	0.006526244624871035	0.0036745990487853882	0.0	0.0	0.0	0.001961079488170346	0.011595968051716282	0.007249795779894209	0.00027557819339468976	0.0	0.0011346400256179736	0.012988757424253669	0.008949731785169668
MOB4	0.002229892586659556	0.0	0.0	0.0	0.007313683950979556	0.0024509364853836433	0.0	0.01322811922140074	0.0	0.011857264657730219	0.004372941605029655	0.007460030955211782	0.0038880770650029334	0.0
FZD7	0.010169678995983613	0.005151175572741234	0.0	0.0	0.0	0.0	0.0	0.006074099114363719	0.007284077566733142	0.0	0.0	0.008681311200207943	0.004115812132507138	0.0023415372761462906
PECR	0.0	0.008802975896974041	0.0007078468279452078	0.0	0.004221165703976496	0.007566801729986272	0.0	0.0	0.006553803790067702	0.016762630450246428	0.0	0.0	0.0037729500038775846	0.0007558150800523764
RPL37A	0.0062782015282506895	0.0005972760076166544	0.003270433153041421	0.007229661916656395	0.00064843271704435	0.0	0.0	0.009617740989996357	0.0075219139624251394	0.006096257463679862	0.0	0.0	0.0	0.006089065345776602
TRPM8	0.0020301701207342715	0.006916564294882776	0.006347956855434952	0.001854649503252361	0.0009818920488377483	0.007636479475905158	0.0	0.006238848156310925	0.0	0.003546985320625293	0.002297673709329198	0.004815797568791283	0.0	0.0039002992239651917
DUSP28	0.009276009820217907	0.0	0.0052625754380161045	0.009107868870263599	0.002570699285458854	0.0	5.648771320602503e-05	0.0013793603129083087	0.0029803531437544556	0.0028416804774070202	0.004913304725920773	0.0	0.002188741989865203	0.004138249957161335
TBC1D5	0.0	0.0	0.002121579246184888	0.004390973884568012	0.013006700460044634	0.003946983092485589	0.0	0.0	0.011283047698816837	0.0002651047089530443	0.001258198020339128	0.01476661017094306	0.0	0.0011217560331971187
KAT2B	0.010715612000675907	0.0	0.0010395659250048534	0.00426050930150821	0.0	0.0	0.00755119513931309	0.002017228257156297	0.0	0.007774552200346912	0.004665921186206768	0.0033224599233674886	0.0	0.0022349970038555507
ACAA1	0.0105794317213036	0.0025132779204471555	0.002627928224029273	0.005909881216552267	0.0	0.0	0.0004529871944923119	0.00499914118139449	0.004948766361540677	0.0	0.003388320297572816	0.0	0.0031070094736062783	0.004170628372397903
CX3CR1	0.008856189756835163	0.0	0.0069235825393432334	0.00023339846643463148	0.0014944603445083188	0.0	0.0011107362020173624	0.0026249145714221456	0.0006404111024836552	0.003947073069479142	0.005831943232715835	0.007015024518734634	0.0	0.01082974371545579
TOPAZ1	0.0	0.0036337573850920815	0.0037498227829866246	0.0015125084285102256	0.0010422361318726734	0.01197691258743705	0.012054472704033556	0.0	0.0009511874064015985	0.0003986901623722965	0.0	0.011318797236607532	0.0018404075171350204	0.0
NCKIPSD	0.00787085543374866	0.0010804764437364167	0.0	0.0018992124133145594	0.00886404747490158	0.0	0.0	0.006608055123084194	0.0055419503497572235	0.0	0.008937349436943019	0.0	0.0	0.004852704288833153
PARP3	0.0	0.004991399560598143	0.00555693924555502	0.0003668358106284576	0.0007121969194399744	0.012088250095867968	0.004652280518426851	0.0	0.011487303317692866	0.0	0.005295258359611833	0.0	0.0	0.0032159391712043637
BAP1	0.011175022308565447	0.0008402229284323902	0.0039583591870842845	0.007757059193327005	0.0	0.0	0.0	0.002017696861596464	0.001652512601059155	0.0	0.0	0.004197442421766692	0.008850105542919495	0.003504436212956251
FOXP1	0.010765732474470553	0.0	0.006077397338960532	0.004836219070146562	0.0022081460137046913	0.0	0.0	0.0030874570887670038	0.007326908798660101	0.0	0.00453328843299331	0.0003891054266831925	0.0	0.003836795389009846
NIT2	0.0	0.0013753829162494761	0.007689580461581866	0.005818618683480948	0.0	0.007093690208974677	0.0072553180861589656	0.0008188383274177173	0.0030880938645471453	0.0031368421748814127	0.010303568374246723	0.0019776632178725357	0.0004625092642301162	0.00020962117264903627
IMPG2	0.0019159954107872065	0.0	0.0	0.004058988688054445	0.00808793466201951	0.0	0.000815200191567695	0.0048442182483261305	0.0	0.016046094701231	0.005486900896540688	0.0	0.006715779354950938	0.009664797333716132
SIDT1	0.0006720678934458585	0.0008351616557537721	0.00792441142741774	0.017320230999873475	0.0	0.0029430129224501285	0.0018866236462648624	0.010751655338069465	0.0028193898249528086	0.0	0.0	0.0014986535363503955	0.0	0.0
GRAMD1C	0.0	0.011001833481528542	0.0050150323006458615	0.0	0.003646577827679364	0.0046202090241639505	0.002593601916953548	0.001098974232564338	0.0024303017636825093	0.0035515637694372468	0.002213679822325813	0.0018224320655226085	0.0067451967890379645	0.002948828688156369
EPHB1	0.009296701451275912	0.0	0.001850056453109145	0.0	0.0	0.0	0.0033372849690955376	0.006144071683528584	0.0011195921954796249	0.01106133127922918	0.0016996331877391685	0.009170139843544532	0.0	0.0049088094334725045
SLC33A1	0.0	0.006691033066585518	0.0033138749990936985	0.0	0.013443019518416048	0.002835631694144083	0.0025770131872961625	0.0	0.007195437995856587	0.0	0.0018309874499088017	0.0044898004065781595	0.00638990472384427	0.0
