	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
10101327	0.0227591761246552	0.007597914144883113	0.0	0.0	0.0	0.003594283215033618	0.019735062173818572	0.005963560717142226	0.0	0.0037332304955199716	0.005663080477974576	0.0	0.0	0.013764676625809711	0.0
10101589	0.0	0.00018213175090302366	0.010761251526853598	0.012228289958334025	0.0	0.017308110192571544	0.00771351297012751	0.008125685721202695	0.002181474759475692	0.0011874834997038577	0.02062729213892504	0.0	0.0	0.01665468434308411	0.011344652521073273
10221262	0.014553096632890597	0.0	0.001294933042905302	0.013348094582456851	0.0	0.0	0.0	0.0011108619747539675	0.0023608292735809583	0.0	0.0	0.003942853980240271	0.044733655519486125	0.02343213650511536	0.0003653492902546709
10222853	0.0	0.006144589193131339	0.011176655171648486	0.0087832269275786	0.00832914053415087	0.018875802810554915	0.002190007376330961	0.00808681964372535	0.0	0.0042617427420327415	0.0	0.0	0.01984279733630002	0.0047427102920466644	0.0
10248033	0.0	0.005017373886400169	0.014923584483052919	0.0	0.0	0.019272588482711583	0.024422999550225553	0.002499453886076583	5.806581538889065e-05	0.0046424725997794266	0.0	0.0	0.0	0.011989161958030608	0.012537838480332148
10298957	0.024969114686930704	0.0	0.0	0.0034618347574246516	0.0	0.0	0.006270648846012689	0.0	0.013654420845447294	0.0	0.01861341861003217	0.0012734332608529103	0.0	0.026854901154290997	0.0
10435090	0.0	0.009971246397358044	0.00728425684376541	0.009700719443425033	0.006243865667515134	0.02233892213407637	0.004902653668673789	0.0024051682441093114	0.007913337647247849	0.012619321313976401	0.0	0.001811962082257064	0.004903111219384785	0.002557737960188783	0.0
10684501	0.0	0.0	0.00437555962712752	0.0	0.013797356339196947	0.01675933068067966	0.008571332515825886	0.0026210803348405993	0.00034276915775746197	0.013178646077602977	0.005622312142546661	0.004377965221994383	0.006493842180693912	0.0	0.020196748257039914
10866165	0.0	0.0	0.011977373614024437	0.017612519414315093	0.009715487089978223	0.0	0.0	0.0	0.006453799155009403	0.0	0.0	0.04173529619050103	0.0	0.0	0.023194262129841804
11157783	0.010758118729067815	0.0009546127719966381	0.00015573802844443747	0.0	0.0	0.005311470296996464	0.0037370644812676546	0.0	0.009299627893647714	0.015710781917493175	0.0	0.02963306340769571	0.0051325351632853285	0.0	0.0222209753270206
11319389	0.014924904332420125	0.007507676116565914	0.00011488045059559392	0.007366182330026123	0.0	0.020601517474990762	0.0	0.005196018380242337	0.0	0.008694572182122788	0.00017141778896800994	0.0	0.002388647339292232	0.015352980578057191	0.006849676255555958
11326252	0.0	0.0	0.014273257896779822	0.0	0.017582510955443924	0.020880931009947114	0.009579663931158328	0.0040842536350429	0.0035941611961164428	0.011080100029353187	0.0011802082236995757	0.0	0.003508134417955716	0.0	0.003080831106841985
11327005	0.0	0.007527443182006529	0.01746945765583689	0.01057457730961449	0.008534214558656399	0.010085187892420773	0.00604169420635312	0.0058633047551395244	0.006407469296769992	0.010786925896119414	0.004187004922299712	0.0	0.0	0.0034051563103951695	0.006465899508648158
11345331	0.0	0.0	0.005059737369876746	0.0	0.010923846458156415	0.019441611818628413	0.00490322505202033	0.0	0.013919877252977173	0.008851580450822467	0.01083455267403728	0.0	0.01744957471978936	0.0015339045569243896	0.0027988487783063938
11392518	0.0	0.0	0.013488187960708478	0.006338749354438358	0.00044797938124015277	0.011198910393723503	0.004211935873530793	0.0	0.018103011077047718	0.01777581782581622	0.022072572356344126	0.000971398891577119	0.0	0.0	0.0
11413170	0.0	0.0	0.005588986933589582	0.0005162894603583793	0.013967622058558173	0.014956269428502082	0.0	0.025751937952327265	0.0	0.00592290430050783	0.0	0.022400485457837755	0.0	0.0	0.0
11453772	0.0	0.005766747240349483	0.022764663186813645	0.022285393807628628	0.012254781431808172	0.0	0.0	0.0027143494289297598	0.0	0.019337980813135803	0.003905947618628159	0.0	0.0026636512754014013	0.008955071894683206	0.0
11606935	0.0	0.0005281192414290349	0.00873089203502814	0.006608490533808188	0.009533215461407276	0.022032450034409012	0.0	8.502311939051634e-05	0.006861172336385362	0.012292100779349138	0.0	0.0	0.017075237048362724	0.0026778165886266387	0.016465039011346584
11616707	0.008885776921273677	0.0	0.007242193582057109	0.0	0.0007215896024292485	0.01435420808753347	0.007959096745990785	0.018553796880300562	0.0023154013990576315	0.013603261722265482	0.005527048226847848	0.0	0.0	0.013090217952499011	0.004923046152241701
11619606	0.010368596986149968	0.003996765283186183	0.010662414546611881	0.0	0.0	0.019847243012124927	0.004891231914930652	0.005656863877590711	0.0	0.009011739090572561	0.015081640059153965	0.009234020440888611	0.0	0.0	0.0034807095634539053
