	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
ZBTB48	0.0001853137833592586	0.0	0.0	0.0	0.00010713141277511095	4.430321004784922e-05	0.0027359164666025297	0.000730276510674163	0.0	0.0	0.0019010537462672216	0.001536020860588246	0.0	0.0015534594350392792	0.0008993755260645929	0.0	0.0008544142806064842	0.0	0.002097423829170034	0.0012628051259789973	0.0	0.0014540518475360715	0.0024432555680269094	0.0	0.0026944610127362396	0.0	0.0003680225719920061	0.0009791694968211788	0.0013086307557477466	0.0013259691187193121	0.0014482710846010916
UTS2	0.0014619223818012957	0.0	0.001983213884481565	0.0	0.0004957198492513018	0.0007944821599564162	0.0012074638919907807	0.0	0.0	0.0	0.0	0.0007719766933972043	0.0015972768018961158	0.0017893020831513864	0.0013572325601562158	0.0006954207354075616	0.0	0.0	0.0015855460178273433	0.0022913140107989373	0.0004453451681849958	0.0008959366931951157	0.0015153650167275376	0.001998463843384393	0.00016093597558181964	0.0007961274168462666	0.0	0.00010112468730828155	0.00021910896990574662	0.00011693656682122367	0.0012165836017879726
ENO1	0.0	0.0006778672353396431	0.0007946009193682046	0.0032622490661804557	0.0019156468884620385	0.0009034802796327046	0.0	0.0015544219969265533	0.001856779927498449	0.0016489681078866603	0.0007125271050489823	0.00040182260807939286	0.0	0.0	0.0005027015811739233	0.0010380128153525384	0.0006728352586616566	0.0	0.0	9.005999745648412e-05	0.0007074890788354657	0.0002829555274636183	0.0	0.0006001852872162191	0.0	0.0	0.0004965448307677277	0.0022851927083529923	0.0006232473482820564	0.0014316824436030923	0.0014196705661245399
UBE4B	0.0006587267975117365	0.0003887423441405636	0.0	0.0003284350699019967	0.0005511607610373121	0.0	0.0019704434725590645	0.0	0.0	0.0009628034434064158	0.0011882771406304031	4.1673856382619724e-05	0.0005019028250895409	0.00017043895670364108	0.0014241734111427456	0.0005503282004056241	0.0005137730554947373	0.0022592085423720283	0.0	4.898711883051726e-05	0.0	0.0	0.0034149294913682444	0.0019604510415761047	0.002649374073832921	0.0014602839137125708	0.00010539630253870014	0.0011970249123381075	0.0012922420537619002	5.978488644245452e-05	0.0015500121064036137
TARDBP	0.0	0.001676416208503153	0.0	0.00034192310456135415	0.0	0.0005612398701195158	0.0010016587691087761	0.0	0.0010933644638606442	0.004064846891252951	0.0	0.0004952705825318638	0.0	0.0007816771102114898	0.0001151993261468707	0.0015935171207108782	0.0	0.002186432412187324	0.0006790789466226435	0.00028203029601970973	0.001746396523371227	0.0004913578603279312	0.0	0.001974889162310255	0.00021846484165769696	0.0023047464880085913	0.0011809463885919108	0.00022166787442862284	0.0	0.0	0.0004351208373077255
MASP2	0.0024904745677532657	0.0	0.0010257641389597456	0.0	0.0032112851127881225	0.001417999360828171	0.0	0.0	0.0011786560064154482	0.0003328236466454042	0.0010460931792543441	0.0	0.0002408287941796603	0.0	0.0020690693553950495	0.0003050172157543848	0.0	0.0004942920099605695	0.0005734044198069429	0.0006511347809432149	0.0003913981756567038	0.0003969934421666522	0.0	0.0018199557133661982	0.0008184598071075915	0.0006145484105318435	0.0012279133366342124	0.0015287160704760515	0.0009728535632172092	6.693715111320845e-05	0.0
UBIAD1	0.0006315163866177182	0.0017434848297625514	0.0	0.0	0.0	0.0007376891978099664	0.0004848732960751116	0.0008676975751264555	0.0	0.0010252703913507012	0.0	0.001792045171406723	0.0009041342576557041	0.0015270076554621526	5.784947146483346e-05	0.0017826279072310186	0.0	0.0	0.0007723563877785247	0.0015406785052567188	0.0	0.0019416609475398118	0.0013529079916968746	0.0015889198207656766	0.0007678905891808912	0.002158068793131524	5.9815552468700375e-05	0.0	0.0007291232397863278	0.0011994874116131164	0.0005125000411481787
FHAD1	0.0	0.0	0.0003627018831692753	0.002652087890058241	0.002559656215030111	0.0011226838624877169	0.0	0.0018904841336194898	0.0018499819843973715	0.00063921145498791	0.0016764239631233203	0.0	0.0	0.00012485321917465845	0.0005289539660932176	0.0012288884973084668	0.0008307188983545219	0.0	0.0	0.0	0.0008347590181945898	0.0	0.00045192117135662885	0.0	0.00037423508144919336	0.0	0.0013638838929547843	0.002980207012755276	0.0012428089428745488	0.0004895019593447673	0.0004480113353421526
EMC1	0.0	0.0	0.0010638596209522825	0.0005380368013110599	0.00246253053085819	0.0017117604060174641	0.0	0.00043832352651219074	0.0005729574618987046	0.0	0.0013222670879368234	0.00020256090729831153	0.0003130227910294945	0.0012170120522421919	0.0002082144822890653	0.0026179027839938907	0.0015640908679912552	0.0	0.0007764807282933221	0.0009273551153113952	0.0014219636412452098	0.0	0.000383592593392396	0.0	0.0	0.0	0.001679381463826338	0.0025813497298290914	0.0015052819190836846	0.0006922742013108287	0.0
SLC66A1	0.0018155986618587547	0.0	0.0012902147642875465	0.0007841862551689371	0.003003400830319281	0.0012710874742181833	0.0	0.0003100879439241992	0.002587711946110582	5.840705648581101e-05	0.0011760890331443477	0.0	0.0003358485860982751	0.000681522695292177	0.0018901512030601083	0.0	0.001035704304497666	0.0	0.0	0.00047090980978706416	0.0	0.00040628417690077655	0.00017719172402810124	0.0	6.935400539026174e-05	0.00013149311188475309	0.0	0.0019370503200177034	0.0008641854536516862	0.002058633649404188	0.002040565609815332
