	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
10101327	0.017132688165493296	0.0	0.0	0.0	0.028993122253571472	0.0	0.0	0.0	0.004743430911209002	0.008880529346479114	0.0008379487002257579	0.0	0.01673932102628214	0.003416531315615464	0.0062822176280147544	0.0	0.0021690191606137175	0.0	0.0	0.0	0.03306224436994551	0.0	0.0	0.0	0.05450731302267879	0.0	0.0	0.011948250121905084	0.0	0.0	0.0
10101589	0.0	0.0	0.0	0.0	0.0	0.0017293479515420188	0.019909387161373537	0.004824563194923859	0.03250955279703716	0.0	0.0	0.00015206913025868314	0.0	0.018629440348452955	0.0	0.0054360152497616	0.0	0.0	0.038176960843248745	0.0	0.015330981883546943	0.0	0.0	0.0	0.02540095978718538	0.015519406739992204	0.011344560234450374	0.012216565031074851	0.0	0.0	0.0
10221262	0.005363562128187052	0.0	0.0	0.0	0.016785053460482275	0.0	0.024765235724639394	0.0	0.0031826767245299453	0.0	0.0	0.016225379941154063	0.0	0.0	0.03210645773261825	0.0	0.0	0.0	0.028494793190552297	0.011279661689988443	0.0	0.03132599121495444	0.0	0.0007351109477570353	0.0	0.0	0.0	0.0	0.023012814501723954	0.0	0.0018373034202882903
10222853	0.0	0.028429086944954024	0.008914313770798576	0.016339019213503267	0.012480193517638898	0.04927299192785779	0.0	0.0	0.007683335807060999	0.0	0.0	0.0	0.013879212124855359	0.0	0.0	0.0	0.0	0.0	0.012558138365565397	0.01817552543981628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10248033	0.0013659142146110223	0.015228489284511072	0.011073592004747944	0.002557868600135862	0.001514304047465437	0.02687948990253889	0.0	0.00458909547011402	0.012106991636589586	0.03872248289489761	0.0	0.0	0.004666274955269488	0.0	0.0	0.013158766741774276	0.0	0.0	0.004696242546297261	0.01071810744607951	0.027812183168618578	0.0	0.0	0.0	0.0	0.0	0.0	0.0003357124390689226	0.0	0.0	0.0
10298957	0.0	0.0	0.0	0.006365958017733639	0.03614747526618078	0.0	0.0	0.01704787236211878	0.0	0.018304610049685564	0.0	0.062215166808651134	0.0	0.0	0.0	0.003822097162648989	0.006728756642333439	0.0	0.0	0.0	0.00422467597237319	0.0	0.019842490125707792	0.0	0.016258409363457488	0.0	0.0	0.0	0.0	0.0	0.0
10435090	0.0	0.013948103325698399	0.017942979216840037	0.026404176282531056	0.01126897017856827	0.012106365870169904	0.0	0.03217537944398452	0.01059173622335052	0.0	0.0	0.0	0.017343912811731477	0.002048162516012708	0.0	0.0005410191258167619	0.004290663672961192	0.0010237904516231186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01693559262948918	0.0	0.0025980968024082634	0.0	0.0	0.0
10684501	0.0	0.005563820805757709	0.0	0.004788399268026525	0.0026895552322861896	0.01802154903461245	0.019055590746519965	0.022702019070810448	0.010935825577439	0.016464343365053678	0.007563483616644576	0.0	0.0	0.00425660039573731	0.0	0.0018304529001283512	0.0	0.0	0.0	0.0	0.01920470450636231	0.012634366404948135	0.0	0.0	0.0	0.0	0.0	0.002776467019401046	0.03306295185496952	0.0	0.008204666661734365
10866165	0.0	0.017790327358567334	0.009624177937986953	0.0	0.0	0.015959154462013066	0.0	0.0	0.01812830161647013	0.0	0.02964992617467231	0.0	0.0	0.0	0.0	0.012288632403298975	0.01500010380773181	0.008035992506365094	0.057138928612436385	0.0011479395392927254	0.0	0.006756790428627549	0.0	0.0	0.0	0.0	0.0018167458052999947	0.0	0.0	0.0	0.0
11157783	0.01437255384119607	0.0	0.0007540423336631187	0.0	0.0	0.00904271005459509	0.0	0.0	0.004546544943587729	0.002020383164403138	0.019564655083591995	0.0	0.009283717836223943	0.0	0.013065234693533677	0.0	0.0	0.003193572731226178	0.013664601820715109	0.013159742666541453	0.00028088445647782046	0.006658480890402691	0.011553623229330554	0.008368571913282543	0.0034556262970872626	0.06324231126743164	0.0	0.006756790158931437	0.0	0.0	0.0
