	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19
10101327	0.001664409715331202	0.0	0.0	0.0	0.0	0.003736054817378144	0.0036279990032643686	0.0	0.008550322085270326	0.015305898165595598	0.01567894606842816	0.026131833241164238	0.0017077526704143164	0.0	0.008671554156073964	0.019793092621311695	0.01465862843624639	0.0	0.0
10101589	0.0	0.0	0.0	0.01735103136571944	0.0	0.0208564414895851	0.0	0.009198013818687498	0.007496666517889348	0.019943863582953362	0.012178926226925362	0.0	0.006110454972673759	0.0	0.0026439597000790255	0.00987331054605903	8.573123789236513e-05	0.020248034837762826	0.0
10221262	0.0	0.012953375329361076	0.0	0.004820104545221052	0.0005368532142181071	0.02284305252219397	0.004323085875834018	0.02569702197146767	0.0	0.009518366051550629	0.014485898895289335	0.01156025736795692	0.0	0.00926091508752366	0.0005073276182900499	0.0	0.01377152312807586	0.0011257140974533513	0.0
10222853	0.0	0.0029996934868228072	0.0033677395764460894	0.0002819443237203961	0.03187935608933281	0.0009249566765735923	0.007326299809937462	0.001453714015888349	0.00346429626330923	0.0042084573526235776	0.0	0.000863807185668893	0.004796662667994444	0.0	0.0	0.013188361466560076	0.014955469284955707	0.03245461351651404	0.0
10248033	0.0	0.006671008838572525	0.009762378680827945	0.01073476895368597	0.007866013565691048	0.0036812561858662004	0.002240924336031769	0.0	0.0	0.008997999282933163	0.0016839050898745094	0.0036722578071607176	0.004111569914521655	0.007751627601882345	0.0	0.03756511256303147	0.0	0.008712414165379387	0.00043598061628830217
10298957	0.0013771089531933623	0.0	0.01540142979213995	0.0	0.0	0.008161025831933049	0.0329043318233435	0.0011099993162099937	0.0031160973085546896	0.0	0.0	0.026088373571257772	0.0	0.016869022583390098	0.0016090351607362424	0.00156277802721685	0.0	0.0	0.0
10435090	0.0	0.0	0.010564952905655064	0.006052746692612278	0.02700634322671313	0.0	0.008456779623805468	0.004350329046295216	0.0233652484896235	0.003708752072166759	0.0	0.0034907542787259074	0.0024826239771920614	0.0	0.007191302931570739	0.0	0.0	0.01401519051393452	0.0
10684501	0.0	0.0	0.020011988194770288	0.0036254466829305607	3.590971515437725e-05	0.0019056159871759257	0.004770880315401993	0.014022155465089206	0.012591677482142011	0.014010542942289273	0.0	0.0068876818197719965	0.0003448091720435056	0.0014018536264197694	0.0	0.015042731677270917	0.004856346061860593	0.0	0.01252351530211071
10866165	0.0	0.009848035569896635	0.0036002658898856127	0.0	0.011595460105797492	0.012879960167472889	0.0	0.0052261750820183335	0.010596110656433488	0.006564448586376752	0.015359773261494007	0.0	0.017861437034739563	0.0	0.005859013620560322	0.0	0.0	0.030943714469257266	0.0
11157783	0.009145779505312838	0.0248123314708754	0.0	0.01062754585231105	0.0030400770402948503	0.010242465942075568	0.002914899890821018	0.010195630965103439	0.011520546097738834	0.006086098126443078	0.006739242277571931	0.0029145228623558743	0.0021956135444709418	0.0	0.0	0.017380947387396976	0.0	0.005767400874755323	0.006934148835895765
11319389	0.010900229277829673	0.0	0.004729477309089645	0.008106907919059247	0.0	0.0	0.010087939213097486	0.019050075093475782	0.010106389055805557	0.023203476654083635	0.014738214763262095	0.007662866741929966	0.006177399922684353	0.0032487165998742965	0.0	0.0	0.0	0.0	0.0034624806689836684
11326252	0.0	0.0015614778258609102	0.014403195178473079	0.0014884482862091136	0.0072786617883679825	0.002572462749727279	0.011284881150534623	0.003040386275656873	0.002853006482708649	0.01632133342454079	0.0	0.003961427346575302	0.001374818954091373	0.0	0.0	0.014738077987640699	0.017264231017934176	0.009145053089127074	0.004451520012167883
11327005	0.0	0.009296462343705616	0.0015016120912159099	0.00010084297188521408	0.015210123654259139	0.003271605316773072	0.0009277781600568719	0.006096012958410971	0.013513361098910324	0.0059791951824257825	0.004018241744604651	0.005787821357607972	0.004288848283168559	0.0034034715589921585	0.005443536377640344	0.015304530195146649	0.013767031090675954	0.017698131244557644	0.002996395390542379
11345331	0.0	0.0	0.03660557417128565	0.0014329633312849671	0.0005359627198624171	0.004591321849583868	0.013780016996433051	0.007383182951624035	0.0	0.009313820756349935	0.0019596848447728113	0.002267208604924087	0.0	0.0	0.00016415002045451488	0.0	0.0016539828647285828	0.007184612449580024	0.007705197962332511
11392518	0.0	0.0	0.03049477566258256	0.0	0.0	0.008014987912218113	0.013169127168204085	0.01630933428101013	0.005591394760931209	0.0	0.0	0.003483853261718843	0.0	0.005398389114499083	0.0019817294455435827	0.006085892753211075	0.0	0.00568966672746108	0.00010944713809541752
11413170	0.009830530227975351	0.0	0.0	0.002217780492868492	0.0	0.0	0.018524020725853525	0.0057254034881692355	0.010517525786366307	0.021946934977980333	0.0	0.0042353094404373876	0.025962631914392294	0.0	0.0	0.0	0.02211284819659921	0.0	0.0024143296403712823
11453772	0.0013634647547518834	0.0	0.027937548635472473	0.005541218301369197	0.008526924856958681	0.0	0.0	0.01694482792016256	0.006363585973228434	0.0014359110011530178	0.0	0.0013381585712267036	0.01502495914925231	0.011430211802543137	0.0064063696310788475	0.0	0.0	0.0	0.008879135401932378
11606935	0.0	0.0037090310006132306	0.03986596070191537	0.0	0.006693074884069234	0.0	0.004979128785419015	0.007109657241764914	0.007637189686036017	0.007310071124244377	0.0	0.0	0.0	0.0014363399948693991	0.0	0.0	0.003167502269261943	0.0033695614431611537	0.007188040111835527
11616707	0.010853764645561504	0.0	0.005946744895477113	0.0	0.00414896104885442	0.0	0.016794807831490514	0.012290675106625388	0.009333770132632348	0.009299152768763416	0.0	0.003926960769499185	0.00741519728917884	0.00010606606589273018	0.0	0.010810583994431348	0.0110190214630805	0.00703995651472889	0.008330816472008399
11619606	0.008405391644155075	0.0010344829097523756	0.0	0.0	0.006791599193090487	0.0023493444892779027	0.0	0.009247674416325893	0.0	0.0037779557657452046	0.0052254741472459705	0.0	0.01176483433655123	0.0	0.010714684513667878	0.02087441139663274	0.034667968621225606	0.00995455997761462	0.016591599093114744
11652071	0.015343897291726326	0.003675882137352365	0.005153412866866264	0.0018286004887514136	0.00737142494152973	0.0	0.0	0.006275648670133133	0.0062511124410872705	0.012048985617964197	0.003337679077727758	0.0	0.023621797743346207	0.002456420232722972	0.0	0.0007521782302998249	0.018228622930501915	0.023362040111572478	0.0
1243685	0.016017052868918243	0.013039748457897385	0.0	0.0016022796101243094	0.018250232577450818	0.0	0.015168615718593858	0.005296054745776802	0.01746494453852407	0.0	0.007191247613656072	0.006353809104374372	0.0026964033460220196	0.013884246192464804	0.005230980354872513	0.0	0.0	0.0	0.0010393420859462561
14498577	0.008992041467257844	0.006965524080476423	0.007061382674197554	0.01571157237529268	0.00852366101186502	0.01265067027189165	0.004719340990725437	0.005304488166740412	0.005609412338371724	0.004753653569745425	0.005297525054348546	0.004966026323712489	0.006124945954708082	0.009886562486584996	0.007178893572582799	0.0	0.005784064639675497	0.001519029431958952	0.0046536335460039945
14641578	0.0007507518494445859	0.00840581065425101	0.0007235272557830776	0.005366904534947483	0.0020408397619431033	0.012600556763897139	0.014555513617038916	0.0074557887719620955	0.002252889781038476	0.015682946938870422	0.008338674353317026	0.005607760952387317	0.0	0.008001266053723864	0.015206035606969204	0.002272700109332595	0.00899894537287667	0.005571932146280384	0.006840579057692328
15387421	0.0	0.0	0.004045885868177228	0.018278623141510266	0.0	0.00865578057201173	0.0	0.0	0.008790901061799528	0.013196791674648147	0.0	0.005098928609641561	0.0022421519610562983	0.0	0.013845410047678797	0.028772075478353754	0.009684375518865949	0.006406300690697961	0.0
18414513	0.021618604644373294	0.017993080243975	0.0	0.009525311399852037	0.01456654737944035	0.0	0.0047400883273042305	0.005083385295178638	0.012628652978249888	0.003575369224320977	0.005785005027819075	0.012075878066316109	0.002136869004162673	0.015316928369681891	0.0	0.0	0.007356817514968079	0.0	0.001053890518667913
20112377	0.011202481615390215	0.0037722741762527745	0.0	0.007473447581785359	0.011847531036275371	0.0016191911808880037	0.008472310179787296	0.0031018351180914054	0.009923088015407068	0.004548556010481422	0.007514736600895106	0.013626098425585964	0.004435397609471881	0.005376248859091535	0.014501352062020875	0.010411522532177964	0.0	0.0	0.007495625095072499
20120255	0.0	0.0	0.024331486589465087	0.0008648634803297877	0.0	0.011443832523789275	0.0052318544894909905	0.0	0.0	0.0	0.0	0.004818059888027542	0.016820402124214248	0.0	0.0	0.02885122700707927	0.00718998676816225	0.0	0.0
20124619	0.0	0.04144803303398543	0.0	0.007141825612245672	0.0	0.02774168993789861	0.0	0.0	0.008673239729473146	0.0	0.0	0.0	0.012814982967123424	0.0	0.0	0.005788776650643946	0.02594067441105594	0.005483230622578224	0.0
20139562	0.0	0.00411649465527565	0.006923221275222899	0.015065106279943997	0.0036382002874514453	0.008414488625728805	0.02157552637457663	0.0	0.003700654440499335	0.009009490588257466	0.0	0.012565575843896885	0.00047533065858018707	0.0	0.003566414571249553	0.02300653527981018	0.0010508413296385682	0.0016808866806529773	0.0003040565207919604
20147440	0.016047264166505922	0.0	0.0	0.013983458702197565	0.0029491899549408235	0.007527798876835845	0.0018975023854004847	0.00884887323042063	0.019142934614126073	0.004871408460871881	0.0075358365519839045	0.01618328815052268	0.0005881456707375124	0.0036513305400278913	0.002137603769789431	0.011535372972837004	0.007331175473860458	0.0	0.0003234998213976908
20152393	0.0038284618845534123	0.006317342393215905	0.0	0.0	0.017405328217117516	0.004673640468051292	0.018355651442570696	0.008629920353438222	0.0	0.020055166535241625	0.0	0.0021127290965130166	0.0	0.001091746412623641	0.0	0.011546545373734528	0.016318701726301944	0.01703177690443955	0.0
20156469	0.03428766404708811	0.009577259379343691	0.0	0.01062191964329189	0.014644809389108013	0.0014263804753890386	0.003130298167161589	0.012445623769303575	0.0	0.005804208189525782	0.0	0.011106599099626715	0.0	0.010965183055405598	0.0023199266093109423	0.00277970447241663	0.0014734448499562104	0.0	0.0030226108063865563
20173942	0.006569376103219576	0.003469725037659042	0.0	0.001567466402512009	0.009127565993205477	0.004060063154503508	0.008477719182234649	0.0051555474695433295	0.0	0.011286647930964544	0.025332902018539792	0.002416164799236269	0.0	0.004071944267941592	0.016032393510223095	0.019126034071700427	0.0004701272638732716	0.0	0.00610743623579115
20185860	0.0	0.0	0.012842265574822813	0.0	0.0	0.004379245908924395	0.0	0.0	0.012155374318517776	0.012814370619620982	0.0	0.010044830093247541	0.0	0.0	0.0	0.00031554862794636593	0.00879030922497211	0.0	0.07736034252658214
20187042	0.0	0.008705186511541362	0.0	0.0005316345410238218	0.00745832379145171	0.0	0.0	0.012282010821966787	0.027890811058516454	0.005061013922564607	0.006216242942600537	0.0132761487108416	0.014392868842735208	0.0	0.024185729570698093	0.007578525020943161	0.0	0.0	0.0
20195344	0.0	0.004302583745256988	0.0	0.011825608675991483	0.022312010857927216	0.00945706047161385	0.0	0.0	0.019750740801526015	0.009730272863516838	0.0	0.00340179861505449	0.0	0.0071146484235698896	0.011125698722468646	0.004550558473706923	0.01177492733766817	0.003054222557261429	0.00856844912813024
20197364	0.013551886695134416	0.00649026816950407	0.001735031809512573	0.0	0.0020020023809861447	0.010276018906260589	0.008133215331179968	0.004123540498787595	0.0055712367443997695	0.010849998106979631	0.012906570061013064	0.014292413455991006	0.0005161319620282826	0.005241548908724135	0.024854847124610564	0.0	0.0	0.0	0.0022246056174647305
20204538	0.006945173198414679	0.0023119638152935182	0.0021548076840380947	0.005899139335122492	0.008315404333510027	0.0	0.023963208846085236	0.0032747117552735234	0.0010454949836429324	0.008856910212604206	0.014910827851018205	0.017436884389782692	0.0015281063520347486	0.006909495366156509	0.0	0.01250614389353999	0.005364055507420758	0.0	0.0
20214850	0.016353792263361294	0.00823250784880961	0.0	0.0	0.0	0.0	0.003163636318997042	0.0	0.0	0.017849000533853084	0.009265162563445931	0.019431633202105777	0.0	0.05322773224201637	0.0	0.0004138197505314775	0.0043030449415765405	0.013968658962350613	0.0
20225925	0.0	0.002771004072287578	0.0	0.008581621293724027	0.01101245654719546	0.0	0.0	0.02453587897524223	0.009698944820724859	0.015645486274071894	0.019991371159483785	0.002185479175370504	0.0	0.008672125438740002	0.012547869546924832	0.0	0.0053371421404603756	0.009897912301357791	0.010478939956597334
20232474	0.004732858821896399	0.0	0.0	0.0	0.025071823827327387	0.0	0.0	5.423742510994194e-05	0.023758272423995423	0.014527324586007312	0.0020507522977166333	0.0021097363989959882	0.004200565300142112	0.0	0.0	0.004588436639174731	0.014628593129923305	0.030502968573575963	0.0
20242958	0.0	0.0	0.026053398951991682	0.0	0.015016748311762019	0.0	0.009102232111245962	0.0016580743632312169	0.0	0.004096299161365786	0.0015649752107988596	0.007870448997550052	0.0008695104596783434	0.0	0.0	0.009485278016990279	0.0	0.029302149428652356	0.0
20251553	0.004814943704593343	0.0	0.015003471728579994	0.017355220272410314	0.006259724887407963	0.0	0.0	0.005327053389176522	0.017989035736287465	0.012379704792524473	0.004988121970705807	0.0	0.012895573662986378	0.009431316304685322	0.0026618658840387574	0.0	0.006979112011838944	0.0	0.0
20252720	0.0035172186906506186	0.002427932139402458	0.00163350453370769	0.013574705194888423	0.022691047313992314	0.0	0.0	0.0056219197845918485	0.02353354531475053	0.01032891468304393	0.008207602952198018	0.0	0.0	0.009356476426123552	0.0	0.0	0.0	0.025612339432883865	0.0035234147977449594
20254902	0.004140651661104464	0.006117872871891382	0.0034056335871862054	0.014479580118998798	0.013046276888025992	0.008349571018884757	0.0	0.0	0.0138046844786648	0.004047864616341378	0.016768082515040597	0.000973036005630284	0.0	0.006088040599772838	0.017942619584279465	0.006746311636452461	0.0054743058480520475	0.0	0.0
20260284	0.0009970249818643446	0.006885288512741446	0.0013678865714763697	0.018904409667056258	0.014020611536435523	0.014529385003912643	0.0	0.013955686628001696	0.01735242467021679	0.0	0.007741986587609612	0.0006922012824475146	0.0	0.0045806053991005145	0.0	0.015586313980021329	0.0	0.0	0.005767825751016118
20267709	0.005000067832521158	0.007762628840432989	0.001805527149952445	0.021100203473525786	0.0	0.005411671523395421	0.012100862897679525	0.0006658382623529716	0.0029475202093888772	0.018731243822559925	0.0	0.011581726272220988	0.010563017080826945	0.0	0.0004686022952213353	0.009234597339907393	0.005333092742154915	0.00748310321257475	0.010400359910070298
20271359	0.0	0.0	0.021767341472577424	0.007138960733229344	0.0045885591331903	0.00073242880248405	0.007936298228040683	0.010324150838583979	0.004754684639082592	0.015546848832090725	0.005585407299380827	0.004091297744794614	0.0	0.0	0.00416825591533913	0.008876616409991035	0.00642354311985106	0.0	0.004462328401363805
