	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27
10101327	0.035468910493522195	0.0	0.031197992005623572	0.0	0.0018545911233784759	0.016380034774277186	0.004062901612322177	0.0	0.010379496026336525	0.0	0.0	0.0	0.0	0.0	0.0012316457790650158	0.02478551948294866	0.0	0.0054600022432246395	0.0	0.0	0.0	0.0008670051472773905	0.0	0.0	0.0	0.0004069742740293336	0.0
10101589	0.0	0.005310063858819913	0.007245531588943941	0.0	0.0	0.0031956130424487745	0.0016038290244241916	0.005754845696793491	0.0	0.013069991282835149	0.022058895540707876	0.0	0.0	0.016600687510422162	0.035136771707461954	0.02564337136714031	0.0	0.02175942141949426	0.0	0.006946160635273067	0.00033538953059355353	0.0	0.0	0.0	0.0	0.0	0.0
10221262	0.011148418263221417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002730508578023447	0.0201911653903788	0.020585643604374315	0.000995667685240566	0.02163269123347711	0.02234559327619829	0.0125890353123347	0.02437404877793598	0.0	0.0	0.0	0.0	0.0	0.005256313376082636	0.0302568842595313	0.0	0.0	0.0
10222853	0.0	0.014475162180844875	0.009965289560204387	0.023859544115786207	0.00967637532233169	0.0	0.0	3.853245241811879e-05	0.0280949730511419	0.0	0.027960215661822923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002625321741295797	0.0	0.03826933742341287	0.0	0.0	0.0	0.0	0.0	1.2841426899775942e-05
10248033	0.0	0.01744686478246087	0.011210227084455604	0.002487570913661246	0.0	0.02405315142509783	0.0	0.002514375753448161	0.018453077102927908	0.0	0.01573253260684928	0.0	0.0	0.0	0.0	0.0	0.0	0.048822347543725574	0.0	0.0	0.002354915715097571	0.0	0.01596034050596246	0.0	0.0	0.0	0.0
10298957	0.014072624489984208	0.0	0.012178496274270343	0.0	0.03401711157460579	0.014462044243490537	0.0	0.0	0.0	0.0060582621838083444	0.0	0.0	0.0	0.06876172532867152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013008269125047913	0.0024940796267374186	0.0	0.0	0.0	0.0
10435090	0.0	0.0355443798604243	0.0022878657626540008	0.011822847768457614	0.020853408603728273	0.0	4.642954947440555e-05	0.010775222748043909	0.014975214003434217	0.01404943392001891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.767491981358275e-05	0.01026458733780985	0.019291005261850885	0.005807272892717438	0.0	0.0	0.0	0.0	0.0
10684501	0.0	0.021038234095555615	0.005906268537206991	0.0	0.0	0.006946508885305063	0.007904817439045754	0.0	0.0	0.005394360086414178	0.0	0.0	0.0	0.0	0.0	0.010033980585848343	0.011683748641562018	0.034395536617915404	0.0	0.0	0.01834877250670053	0.0	0.004113652636947721	0.036018159179367314	0.0	0.0	0.015181381346284314
10866165	0.0	0.011856285357629904	0.0	0.00889037379898206	0.0	0.0	0.02630833154183887	0.008535881251482469	0.0	0.0	0.048941526370638554	0.0	0.0	1.6773202539741662e-05	0.02243740692864607	0.0	0.011855919536371018	0.0	0.011640380567723053	0.0	0.0029801355930411367	0.010758012631151323	0.011455003958995843	0.0	0.0	0.0	0.0
11157783	0.01220436237528255	0.0	0.0	0.0	0.0	0.008819202374721636	0.017376469409781298	0.005069971491453189	0.009519860657243327	0.0	0.010795655315326877	0.0060949219685237435	0.016671095657740543	0.0	0.005441957899497699	0.0014972638137006982	0.008074576334730925	0.0	0.0	0.04947059148506864	0.01318076853786376	0.0	0.0	0.0	0.0007881963037284382	0.0	0.0
11319389	0.007853512065002665	0.0	0.015551197105384227	0.0	0.00040456520725607186	0.0027526045750853154	0.012699329385364657	0.0	0.0	0.021243172715309188	0.0	0.0071314953579022546	0.01124236507023949	0.0	0.04634054117510913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030093735030397268	0.0	0.0	0.012069987614586471
11326252	0.0	0.018330151072608346	0.015574284385285615	0.008641494284648213	0.011037456909828942	0.0022331324576804375	0.0	0.0	0.0004027714188116002	0.0	0.0	0.0	0.0	0.0	0.004504115033617712	0.0	0.003897419603768027	0.03450775849031109	0.009007574851430894	0.0	0.020045349338444148	0.0	0.0	0.02966578955390625	0.0	0.0	0.0
