	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42
10101327	0.0	0.004823634971697356	0.012380564330827655	0.0	0.012748489392303287	0.014493232340342187	0.0023804638472775218	0.0	0.0	0.0009982210347977939	0.0	0.005417585780537434	0.0	0.004569088206861538	0.0	0.012414088594318116	0.0027208763652610624	0.0	0.0020367575690619344	0.0	0.0	0.01604532109634424	0.01430742780459481	0.0024509349992387825	0.0012134406365277431	0.003349460852013485	0.004969724231450292	0.026247861023216464	0.004135527317451085	0.0	0.007425738470363956	0.0	0.011925025899729736	0.0	0.0	0.0	0.011486061845951911	0.007245768836027202	0.023616516071020173	0.0	0.005735420270883991	0.004629542308173378
10101589	0.0	0.016709507815272442	0.005918494228126029	0.0	0.005951094598852908	0.012261973465298254	0.001095815048448593	0.01188014545949204	0.0014740987669304394	0.016495364339722398	0.009255741109672465	6.354153231154089e-08	0.007298851315339173	0.000557428274439664	0.006477608762944384	0.012491365714011127	0.002411399611924	0.0	0.007509605110073388	0.0	0.0	0.009143501023951138	0.005875511829060587	0.005614712667262193	0.021379317410514548	0.002885340278625097	0.0017674921186737395	0.009047963770334535	0.0	0.016566860964741505	0.017541643910632062	0.009220575381695253	0.0	0.013064815940965292	0.012734419740381968	0.0	0.008078049877315098	0.0068050690817347695	9.864992560440249e-05	0.003904223664525507	0.0021124198837072844	0.004547843163053485
10221262	0.0	0.0014982863357946002	0.00934617090341284	0.001981431379165246	0.0014246129320808012	0.0	0.006566022869307385	0.004656345208408006	0.007626500950880421	0.004990345017386532	0.003177768720001842	0.006825904518102352	0.01229951240798367	0.009917237765993582	0.014291127022210507	0.003862353929091074	0.0	0.004973595140614797	0.007949531677730418	0.014037483217459611	0.0021953412351991396	0.011064891730106217	0.014574363869166617	0.0059657326924806384	0.017824977951463438	0.007151319523023764	0.0004474160757213661	0.002438056442169158	0.0	0.01687489197785157	0.014498780265803597	0.0	0.0	0.020125465189659582	0.01216120318672968	0.011746301573869461	0.010941570351451824	0.003108296476780155	0.012381041218404493	0.018844380994740166	0.0	0.006483509521291734
10222853	0.02227149243491189	0.016189352140695085	0.0	0.0	0.006406217792525878	0.00481399464928653	0.019566531753624085	0.0005860802890142426	0.0	0.0038927672265430826	0.0029025907034463585	0.0	0.0030028163150230846	0.0028611540004559537	0.00851934054584326	0.0017109271713151991	0.0010032797579660661	0.022416829954207913	0.006875138398696852	0.009674565884451366	0.0058463060100915395	0.0	0.006299092602727201	0.004682813156055947	0.001835936099157084	0.00025618942943301615	0.0118976806849388	0.002197769270532011	0.001557747805748116	0.0	0.026261483400668202	0.017782062849064723	0.00841082580474436	0.0	0.006496204301597591	0.0011271834476030448	0.005364001202353945	0.010800949183738976	0.0	0.0	0.0	0.003456795766158557
10248033	0.0016395415659690115	0.004447111279822811	0.0	0.0	0.018567465504131568	0.026280615305159113	0.011805616702363615	0.005742314284214	0.0	0.013634762223632075	0.008076737231067896	0.0015409099615248385	0.0	0.0003934753879903145	0.0010726276302718708	0.0072873894298181655	0.012502049859551617	0.003460673994177263	0.003537287190107159	0.007632150351379596	0.0004306409306994574	0.005357906069250436	0.004382668893673195	0.004043382319942751	0.004617815355363737	0.0	0.0	0.008191433009707066	0.007711930183102041	0.0	0.011896791434105995	0.017188252708980733	0.004800335928315359	0.0027625543332435096	0.0028052450068677876	0.0	0.0010433021558300996	0.017138188373059915	0.0	0.0004962200045376013	0.0	0.01158210518387675
10298957	0.006918710062283687	0.0	0.004946716840585263	0.011437696901975023	0.02289753671025112	0.0036207016231324246	0.0	0.0	0.0	0.0	0.0	0.0008581936550247065	0.0	0.009172640367480176	0.0	0.0	0.005104610631379718	0.006984664713975957	0.027320603092607008	0.0043388244584148085	0.0	0.014584158187134712	0.0	0.0	0.0	0.0	0.02663391172037836	0.008925190373232646	0.0008201697507568712	0.0025561644652218156	0.0	0.0	0.0	0.0	0.015824453106734644	0.0	0.0009963338646230705	0.009003888357664549	0.02442831877881034	0.00934425146894506	0.0	0.008602648929465544
10435090	0.01389124794180147	0.017487225894549933	9.386180938471018e-06	0.004116701644063754	0.007333807307533126	0.0	0.0072372549687855295	0.004504022165040505	0.0	0.00629439985977041	0.014796833070748144	0.002305217598539323	0.0	0.00498851530184263	0.0	0.0	0.005273360807430612	0.010387894842295436	0.004853827921016924	0.0072669772240757735	0.0049013167630989896	0.0	0.0019335278877134052	0.006247016645227139	0.0016631794441430818	0.0	0.015542988932310127	0.013571233558383647	0.0	0.0	0.01687338863139277	0.005244834950081242	0.01741343705345581	0.0	0.0065291817401339864	0.008027331208029885	0.0	0.00017762681940521304	0.00831649141792199	0.010557186652606887	0.011652279083125579	0.0
10684501	0.008942076741350316	0.014931272861027228	0.0	0.0030415193595637476	0.006549762684730588	0.01490386628484701	0.013169077804552929	0.0027921342951041555	0.0	0.0007800221800077727	0.0031640312694435173	0.0	0.0019096975857319748	0.0011035655611875183	0.004174886626396662	0.0011861242171553967	0.015856035339770546	0.0	0.00887797986092791	0.0056148362657720595	0.004472950712016851	0.0	0.0	0.0	0.004561606811952279	0.0015152836511059102	0.006744887765390656	0.018051361291510352	0.0	0.0014153451983203046	0.0006222089370814019	0.0071012423289686195	0.002289532046335572	0.0101041609310565	0.00334826907921921	0.0009641983390726068	0.0	0.016948682910918448	0.011692951163876617	0.013929421383635676	0.002512526124987665	0.0
10866165	0.011793623959981143	0.010588241695727207	0.017277281652311613	0.0004411079312028387	0.0	0.002643300539344119	0.0011916572920334704	0.017011877128760775	0.0003116495388772112	0.00969536554931429	0.0	0.000982878048577978	0.01555266864816396	0.003176217287407819	0.006162218736600219	0.0	0.006326200449253189	0.006665404831886852	0.017627755147720237	0.010014521885203843	0.00930630216878281	0.0017292412736467488	0.013077295451120902	0.011238510211922419	0.009189778048356493	0.004599341030332735	0.0	0.0	0.0029089586910873108	0.00991373369274951	0.018945117969531626	0.011010078551657669	0.009302423504318242	0.0	0.017355126931779614	0.005437471663218106	0.0	0.0	0.0	0.010004853863336617	0.007391664533110842	0.0011496853604684538
11157783	0.0	0.0	0.010091621218058254	0.006606357338908141	0.0	0.00890065429559062	0.011293307230573627	0.01345610562216229	0.008041953791864663	0.02273541172360759	0.007818872476387054	0.006003971544002808	0.009035590994139418	0.017182779227674007	0.009102995760998408	0.007290800870561223	0.006153786824862506	0.01276142560995275	0.010872117099292143	0.005322500134254414	0.012190048987990351	0.004096563524087979	0.005580487885399954	0.012988349087651925	0.01713824874677146	0.011214982439039728	0.0	0.008552539380010986	0.007950351402650777	0.007211010724662503	0.01467560167684165	0.0	0.004647676236633688	0.01565475261685834	0.002252534508207909	0.004691881419499881	0.0	0.0034678602276111566	0.0	0.0015570603878014321	0.0019862137923637845	0.014742121361733933
