	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
10101327	0.0014285967548169284	0.0	0.0	0.017296864112336132	0.008648666532563852	0.0	0.0	0.0	0.011275933939512962	0.0	0.0	0.020792148071578524	0.0	0.03175357825597672	0.0	0.0	0.0
10101589	0.0	0.019702576944665057	0.0069120896743133245	0.0	0.015617492929115672	0.0	0.0	0.029524906911254662	0.0	0.005116472108508722	0.0	0.005769624585453088	0.0	0.021655940708911216	0.0	0.0	0.0
10221262	0.0015709339512046984	0.017774339695400612	0.0	0.007249227150362207	0.017302008105960793	0.0	0.0027799111239801607	0.010279381438240372	0.006130763702762583	0.0	0.0	0.0	0.025923995975001748	0.0029654872181988597	0.030014140827053438	0.006062928308148357	0.0
10222853	0.0	0.0019863350884744306	0.002059269680416752	0.0	0.0	0.010378732883176638	0.059175932546105224	0.0	0.0	0.007911779449770534	0.0	0.009025125371889637	0.0	0.011123580237779953	0.0	0.0	0.0
10248033	0.0	0.011420846324991156	0.007831525067552176	0.0	0.0	0.0	0.010722509890843243	0.003746293543663655	0.0	0.007043729216878009	0.0	0.04323687832950198	0.0	0.006531903713515306	0.0	0.007527839755063842	0.0
10298957	0.0	0.0	0.015200791770064065	0.004947825616900616	0.018251148539025257	0.0	0.0	0.0	0.03561171404374067	0.0	0.0	0.0	0.0	0.0	0.0	0.01709521385159108	0.0
10435090	0.0	0.0	0.011299657700409345	0.0	0.0	0.033058962267378936	0.024687496915758902	0.0005973232380261429	0.008154879846954594	0.0	0.0004247954460567452	0.0	0.004909410980195037	0.009260516968687661	0.0	0.0	0.0
10684501	0.0	0.0	0.023947561754005527	0.0	0.0	0.00041722240974446977	0.0	0.0	0.007068707904022596	0.0	0.0	0.01250460576675868	0.013880813276486678	0.02167319532223827	0.0009666902282341022	0.0	0.015828984490097734
10866165	0.0	0.016073703073888904	0.013647976393969358	0.0022148177106848816	0.00405014953617076	0.0	0.021284888035755026	0.01116311263863399	0.0	0.0011899707598768939	0.03805255204322275	0.0	0.0	0.0021137619104221747	0.0	0.0	0.0
11157783	0.015383387164339134	0.026660380113302573	0.0	0.0	0.0	0.0	0.00010303410264670151	0.009159986161224626	0.007882517638829183	0.0	0.02623409369312787	0.014550673845716353	0.010032224667458657	0.0	0.002050921746668376	0.0	0.014948849972121843
11319389	0.0006093960584312429	0.0	0.0	0.007477097339781881	0.0010828999942100281	0.0036238510797883578	0.0	0.02863000301641772	0.01740885227007014	0.0	0.011743899613663053	0.00017597414573835315	0.020570582205954695	0.022508472797753972	0.0016568811688509903	0.0	0.0009379294664352996
11326252	0.0	0.0	0.018255577515284113	0.0	0.0	0.0	0.016062818910149265	4.071331478496097e-05	0.010244085321492912	0.004194540363717293	0.0	0.014378594445411457	0.0	0.017411661107262	0.008158079097534176	0.0	0.0
11327005	0.0	0.0074873818141778905	0.0005770324417665687	0.00566404855050998	0.0	0.009643491397131262	0.030445316880772136	0.0	0.0	0.0	0.009127150252020454	0.013405511077688805	0.0014922129574430458	0.015787068679631082	0.013654471773208816	0.0047583672988650155	2.5666242283489124e-05
11345331	0.0	0.0	0.04070898024486589	0.0	0.005496536631125989	0.0	0.0047996210394524045	0.002066181328058315	0.011048922995520221	0.0	0.0	0.0	0.002609831412694779	0.0	0.0	0.0	0.01064069028995387
11392518	0.0	0.0	0.03847553472870583	0.0	0.007693020265088888	0.0	0.0	0.0	0.010629689062552978	0.0	0.0	0.0018142671280300853	0.012516800771363676	0.0	0.0	0.003970127211465965	0.0
11413170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011591123285512048	0.02057812641524108	0.024889696017369095	0.022102156143874188	0.0	0.006009263040747772	0.02645828357527059	0.0037190272228024078	0.0	0.0
11453772	0.0	0.0	0.03130932155622975	0.0	0.0	0.010910839073098096	0.0	0.0	0.0	0.010618755343726529	0.0044861384798095694	0.0	0.026591417944539564	0.0	0.0	0.0042276774147120555	0.009435737723598134
11606935	0.0	0.0	0.0433572999699169	0.0	0.0	0.004231344333193717	0.004944246971478352	0.0020999996360377936	0.00459592866527944	0.0	0.0	0.0	0.004613904873906106	0.0	0.004230135430506482	0.0	0.004492522966381835
11616707	2.579713474705195e-05	0.0	0.0027095957271713864	0.0	0.0011818289034614489	0.0	0.013372479500214886	0.0023720469989409313	0.0214605042451322	0.0052870389122042895	0.01595544974065765	0.01097313265394121	0.013351868369820656	0.009940832387451585	0.0025342883584845307	7.969911050729755e-05	0.005585469807053132
