	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
10101327	0.012253146125839828	0.0	0.0031632404603410716	0.0	0.029498305631616477	0.0	0.0	0.0	0.0	0.0	0.009296092717180602	0.01003978601519429	0.0232437806000499	0.004785514692422149	0.0	0.0	0.013710059943915396	0.002993252704262105	0.0016899213226402358	0.010368692749680605	0.002846736093825581	0.04369172739988121	0.0	0.014363437971825158	0.0	0.0053459978642414465	0.0003535515784925471	0.0	0.0	0.0	0.0
10101589	0.0	0.005355722852753588	0.0	0.0002474139095109539	0.0009034485437739765	0.0037814676048991583	0.02391748493659485	0.01144155716891466	0.0	0.0	0.0	0.012753290021574737	0.013819131892441685	0.0	0.0013369827004964753	0.01322839727987733	0.001895555597828957	0.0	0.025640808975973827	0.0	0.012854132355054641	0.02084469717111236	0.0	0.012895061979088263	0.023705911225137745	0.008974830317833658	0.0	0.0045445021687958295	0.0	0.0	0.0
10221262	0.0065262596293570235	0.0	0.0	0.0	0.01701854040608301	0.001995050756803823	0.01951405514075195	0.0	0.011177492084180307	0.02228442742165049	0.0	0.012142503606654965	0.0	0.0	0.00040549815452179414	0.004334654518004607	0.0	0.0	0.0012600847948885166	0.01360419789383726	0.016881102837340803	0.0	0.0	0.019676248636227814	0.02817824876559087	0.00460895179724499	0.0014433833968398634	0.0	0.011885177452579122	0.0	0.0
10222853	0.003164946382714862	0.004757163339980491	0.0065393959426241904	0.016566642236997546	0.016721422601651992	0.0	0.0	0.03910891515767455	0.004519383441791406	0.007534885220014118	0.0	0.004382711267210947	0.0	0.0	0.029623780956963313	0.0	0.0	0.0	0.0	0.0	0.011183391479585265	0.018889011560398215	0.006594389895290993	0.0	0.0	0.0	0.006118602164339417	0.0	0.0	0.0	0.018927223335574825
10248033	0.005309156093067157	0.0022839284059697515	0.0008920210033956081	0.013234356399089375	0.009907534149441179	0.0	0.0	0.02205216227949647	0.0	0.004581353698422006	0.034403186027570316	0.010512797336092589	0.018887393395697834	0.0	0.0076106597650365876	0.0	0.0	0.0009654235280977963	0.006831446696874263	0.0	0.016167003743345457	0.0026079454837410906	0.0	0.0	0.0008236928968643371	0.0	0.019515774399037285	0.010891025310528128	0.0	0.0	0.008939921232108291
10298957	0.0	0.0	0.036954296887187814	0.0	0.003986947871759387	0.005508457646243392	0.04640775243150191	0.0	0.0021472796398273324	0.0	0.019304315879384006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02812731703605703	0.0	0.0	0.0	0.03882300585919377	0.0	0.0	0.0	0.0	0.0	0.00604597939400668	0.0
10435090	0.0031552793983011004	0.009399534589570454	0.021715921768741007	0.028117027466256727	0.014217310545151407	0.0	0.0	0.008480935051882398	0.0	0.0	0.0	0.007473547473301373	0.0	0.010183717478882887	0.009553097255901892	0.022386246002770293	0.0	0.004481004200487608	0.01226594828408578	0.0	0.0027142032636941153	0.0	0.01256658817381147	0.0	0.0	0.0	0.0073172781392273805	0.0035565241162047777	0.0	0.0	0.0
10684501	0.0	0.0	0.002225850252142389	0.015963676929161116	0.0016612458967372452	0.011351721204388371	0.0027051655745996953	0.0	0.0	0.018259603014135664	0.014951943550166394	0.02112424362325058	0.02585542019528244	0.0	0.013072598819558343	0.01591759667700953	0.0010773171046655127	0.0	0.012097504858819835	0.0	0.0	0.0	0.0	0.008929975051040706	0.0	0.0	0.001992364675821525	0.00024586165287166466	0.017425303053214682	0.004965658829172542	0.0
10866165	0.0	0.001476757720431907	0.0	0.0	0.0022017646830428243	0.02697983526001748	0.020067035970256636	0.04227568955561898	0.0	0.01921327075812126	0.0002682348765915359	0.0	0.0	0.0	0.0021196883390572135	0.0017588644360305695	0.0011271907794792898	0.020369249418503765	0.00965800990589588	0.0	0.010722807043258993	0.0	0.006243756533049659	0.0	0.02819113499631895	0.0	0.0	0.0	0.0	0.004134854279039685	0.0
11157783	0.02071209670714552	0.0	0.0	0.00030321511737181313	0.004123795877636636	0.0062933231175530705	0.0	0.015724574327995507	0.0	0.006216634081976666	0.0061373343916780445	0.002119142873562262	0.005854108044597423	0.01722420124087198	0.0	0.021573762754830514	0.014013970391472915	0.0022738026602704938	0.0016861913601915813	0.005995593780159982	0.02576966632819619	0.0	0.0	0.0	0.020882100997345655	0.006963814137333492	0.0	0.00579831156327535	0.0	0.0	0.004155427463283155
