	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
ZBTB48	0.001207236668766117	2.2995379929868005e-05	0.0003261696489694364	0.0002453335201407438	0.0002006994518442323	0.001879763280479507	0.001625328884095205	0.0	0.0019002535607514854	0.0011777152820301702	0.0	0.0013191545084072676	0.00026982849285373954	0.0	0.0005008725529749932	0.0012431415054433167	0.0008522618983284836	0.0010445048396388048	0.0	0.00014868278343331765	0.0009293794688531467	0.001614532667482455	0.0	0.0023035480764207954	0.0008619612112552061	0.001230639696606348	0.0	0.0002629306192955933	0.0007682774614610576	0.0012102678834485794	0.0011519212965000936
UTS2	0.0013925069446742034	0.0018948121546157302	0.0	0.0	0.0005231114324419984	0.0	0.001200179562763592	0.0010617988170582477	0.0020208879950402115	0.0011469161511872392	0.0	0.0007101362986448431	0.0005400638924420529	0.0014048730094445153	0.001048835803523406	0.0009358158613203581	0.0	0.00028323825097171184	0.0	0.0011195334820696024	0.0013736315945858484	0.000686010505931245	0.0	0.001328049210083775	0.0009431266644600849	0.00036293018188689543	0.0008068403224019961	0.0005191109370206588	0.00045492154938296144	0.00026589197185057135	0.0011441503627065111
ENO1	0.0002080167827734496	0.0005190794340534814	0.0022818153362921937	0.0017339084779291422	0.001589572425223347	0.001038029529354039	4.9410125476513494e-05	0.000521625652072365	0.0	0.0004156119981583842	0.0013382367634832333	0.0	0.0013530931338186776	0.000646376271497211	0.001351253172244862	0.0	8.147751474502489e-05	0.0005567293354852232	0.0015497728804592503	0.0005024023261557774	1.300534821037732e-05	0.0001494650914218068	0.0007487756506056998	3.744811640652008e-05	0.0006579634596530336	0.0016914574598725842	0.0011846053568448339	0.0004322529617452864	0.0006678190725794343	0.0012729758154706129	0.0013053347647171147
UBE4B	0.002228724940595662	0.0005395555915156038	0.0006024270292955473	0.0	0.00039964212126777996	0.0004901186690371321	0.0003802787439282273	4.602035225359519e-05	0.0015938652776393367	0.0	0.000880601748011852	0.001338637834136104	5.032169227354191e-06	0.00027663825868871	0.0	0.0004610234886078261	0.0026282287256455396	0.0005118070705703508	0.0006452908362512351	0.0009747493510068301	0.0009140821343509572	0.001268918427687065	0.0008980841057575862	0.00043122484596381264	0.0005073297684036045	0.0020388096046219683	0.0006332712155653016	0.0	0.0017223430251454936	0.0002983199954937803	0.0012305663668357803
TARDBP	0.0	0.000924564668869108	0.0005859755760331617	0.0002603205156065295	0.0	0.0	0.0007428009141328976	0.0008742443680606682	0.0006909663445146576	0.0005972696954441877	0.0035852998792701473	0.000669145456742938	0.0013567364299398397	0.00018842035833448406	0.0004540342470935219	0.0013946190066662313	0.0014668153404516786	0.0	0.0013744416289488022	7.808796308834891e-05	0.0013898883322909757	0.00034760019749288255	0.0018907214999965864	0.0	0.0009654375607679134	0.0011350605938647781	0.0012987555381059582	0.0009095122598120456	4.997177221724395e-05	0.0	0.0005280064728494862
MASP2	0.0005739448841785131	0.0005732880638056364	0.0003940354398386397	0.0	0.0030556827189716505	0.0007597372813185437	5.229876678671659e-05	0.0009818685576496572	0.00029101775977581217	0.00028276764726973554	0.0009512913705581814	0.00022735705136580926	0.0006461855485178072	0.0017995526518158962	0.0010899910367973885	0.0	0.0004388937179707204	0.0	0.0005175711415773546	0.0019322832073123423	0.0003654819291342574	0.0011054725793758057	0.0004333602480038282	0.0	0.0023448970647939956	0.0011103373319025975	0.0005331212216557616	0.0013904162183781537	0.001551034753408303	0.0004020327142970757	0.0
UBIAD1	0.0006332322271720707	0.00017131132019276577	0.0	0.0011300835117496655	0.0	0.0	0.0018116845917796537	0.0004984051996673987	0.0012924303174570398	0.0017011124526453356	0.0015109324851246345	0.0002335089654407987	0.0	0.00032698773223138576	0.0006210712560075005	0.0023542310354422178	0.0002626065302238449	0.0006059753027533245	0.0	0.0010235923025492292	0.001904801767847002	0.0005024989035844403	0.0014896392582509528	0.0011349232098573322	0.0005637292516421343	0.00016141720690194245	0.0013173792381521686	0.0004943929408821403	0.0008492841220149983	0.0012005457187662248	0.0006560494161564535
FHAD1	0.0007101092302384528	0.0004506418484966825	0.001770005102164563	0.0011484211204119453	0.0018888571278579509	0.0020777519593124113	0.0003084332767055738	0.000895404022825799	0.0	8.274688345404502e-05	0.0006604728719897866	0.0	0.0017434785175054802	5.384390377267892e-05	0.0011681208252371387	0.00036323456142886074	8.200832340690003e-05	0.0005882591235623564	0.0018922243504699693	0.00038790122117863174	0.0	6.988876342718119e-05	0.0006088797689667464	0.0007476284770813646	0.0	0.0016503590721635192	0.0012479671661385068	8.699039820463869e-05	0.001301512806108451	0.000570252407814285	0.0004048332656999629
EMC1	0.0003131432001723609	0.0008243844656153999	0.0005229538977771183	0.00037615531461940814	0.0017039572060964046	0.0018869022783947593	0.0008972422375201838	0.0016064057786980745	0.00016665169920084477	0.0	0.00013933885505173073	8.798137396154292e-05	0.002089053148382381	0.0001118778482747807	0.0017235705585391594	0.00041947353970187267	0.0	0.0014072877610598047	0.0005147484990090859	0.0005026025751057998	0.00022403468643870692	0.0	0.0003347966030259692	0.0017077260412427817	0.0005557588521994797	0.0005817072911904912	0.0021784698631424296	0.0005150490065440905	0.0014558531458145748	0.0007667718137692841	0.0
SLC66A1	0.001396113459969507	0.0008226125635161295	0.0007433155279962524	0.0006349562602882045	0.002730082402362713	0.0012130755794873497	0.0	0.0003379083790026465	0.0	0.0006320555169300388	0.00010422269805614714	0.0	0.0010195945037320805	0.001241942429874492	0.0012199306665891703	0.0007485289768081957	0.0	0.0005003972573245323	0.0019210292039465923	0.0013850030025793934	0.00023567833992830373	0.00026400410348090866	0.0	0.000917008206235623	0.0006754944295400281	0.0010938805680211832	0.00029110897978713445	0.0	0.000564826494718485	0.0016710358727827493	0.001722691417483758
