	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
SSBP3	0.002551337181468246	0.0	0.0006292298966425213	0.004821715625986677	0.0	0.001407862744121335	0.005342639146579094	0.002139987970951853	0.0013471071491010392	0.00034586752366176345	0.0026972559316269314	0.0018244509737137965	0.0013136181650182381	0.0004338905442617851	0.001241097361972532
DHCR24	0.002464846217985684	0.0	0.0029032074020925495	0.0005487707251375359	0.0	0.002769166608961626	0.004149645030316309	0.0010782599216395449	0.0016283326753706645	0.0011699254531862071	0.0034817601321852653	0.0009381512457141998	0.0023640606919462337	0.0014470788605359457	0.0017549190915435579
TMEM61	0.003526464215413327	0.0	0.0017996924331984965	0.0023013463508511373	0.0009013184361977307	0.0022750824980410336	0.005683838597875355	0.002406474095393205	0.0001671709139598595	0.0	0.0017874740429872828	0.0013619500270957063	0.0	0.0014311598177988991	0.0016380129279829397
PCSK9	0.0005531246134406141	0.0027571352300608852	0.001530798862007395	0.003983754348825195	0.0014291741513443135	0.0	0.0006889937602262999	0.0019890317966233155	0.0023016395488620178	0.003906566884958613	0.001534929421612901	0.0	0.002536344803079742	0.001238460925161643	0.001995617089836698
DAB1	0.0	0.004005091317049394	0.0019220360401752577	0.002938889963419014	0.0	0.002020123249013315	0.002200969666927789	0.0008696880136899783	0.0	0.0027084679111852323	0.0021148316918931844	0.002186410198583085	9.602056314622428e-05	0.002325930701750007	0.0038459958701199254
PTGER3	0.0001382991467284198	0.0028048962246757514	0.0	0.0019676903035773952	0.0033817161755162026	0.000176748900262524	0.0044390817459101055	0.0040240195307291	0.0012978831790548112	0.0031108883774488053	0.0013458183112534797	0.0005650042165261915	0.0016155582529205706	0.0	0.0016439263534696311
NEGR1	0.0	0.0038741849204991666	0.0017033309266566681	0.001036337658181373	0.00025470181766039206	0.002822618983326876	0.0	0.002629880017686982	0.0014212823731888122	0.0021229610618326293	0.002614476354070798	0.004284470077547126	0.002234059394058706	0.0010245059459554143	0.0009742331095025553
LRRC53	0.00048118185217011574	0.005012156541703899	0.0021671819966689364	0.0021449773200284262	0.0	0.0021208964538625796	0.00012430559880689126	0.0	0.0036600090279790727	0.003801983576756983	0.0022704237286813762	0.0008306159566481647	0.0005176231971368783	0.0007877324092860272	0.0015166866765886757
SYDE2	0.0007650379235048702	0.0041971199645644015	0.0023798515682064104	0.0	0.002987776805205481	0.0008600967129080407	0.0	0.0014361996481408426	0.001668499162611786	0.002236648783396472	0.0008007630076479292	0.004294936963773144	0.0019423343387079566	0.002301325972621867	0.0
C1orf52	0.00087198130317193	0.002439980656194063	0.0009478497483328673	0.001940677737776999	0.0014270335609252059	0.0006487605519923427	0.0007829994612954066	0.0014933226098140296	0.0026533876577149126	0.0035301155764384798	0.0021286901954389085	0.002877084562736735	0.0019665742818611746	0.0010629691529151755	0.0029093474201444254
DIPK1A	0.0	0.0009250453646685177	0.000505474312760495	0.0	0.0015989112668161937	0.0	0.0050269818558585045	0.003355392119596497	0.0014984367012246902	0.003253052916493275	0.003214830790012276	0.0011142510594262833	0.002057356173761679	0.00335646935014553	0.003870711890148197
