	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
10101327	0.018146033306773814	0.0	0.007672271920720777	0.005018792158001301	0.0020915363044963164	0.0035955455111840486	0.0217835607122278	0.002315249316864669	0.006552270955470929	0.0	0.006341908217583109	0.0	0.0	0.018036067525080857	0.0
10101589	0.000598674269230794	0.009794279987756073	0.0026275531194414757	0.013969800313196222	0.010559238412384325	0.004365245407366967	0.007918137169683362	0.004426108220043885	0.006683547502283281	0.0	0.016051790542730607	0.002083016183328319	0.0	0.01158800058342052	0.008697438829564579
10221262	0.011299159526334986	0.0020897652963664005	0.0	0.0	0.019164252320525984	0.00014241457974778295	0.0	0.0	0.0017108095218335017	0.0	0.004662446310505169	0.04007653941112036	0.007057611804419852	0.014883047800427575	0.002863776101605031
10222853	0.0	0.0093033242151122	0.006216551895634751	0.012984620370648944	0.008849677714726	0.007855344979219222	0.006131073679000903	0.0	0.008424400084555068	0.008309933955940152	0.0	0.017994148207710146	0.0013903452789327789	0.004802376555983647	0.000361332641098615
10248033	4.154500636092632e-05	0.011463577789090683	0.005064112321443982	0.01429420619453775	0.002157153285741479	0.008962444532897525	0.022735001230791113	0.005141018000442102	0.002894405916305824	0.0	0.0	0.0010832883809234794	0.0	0.007028068896369138	0.012186410421731249
10298957	0.02150150752182966	0.0008083733547408104	0.0	0.003248307189125798	0.00730907537932865	0.0	0.004751733370885673	0.011484351909390782	0.0019280882550750343	0.0	0.021571802949688117	0.00131430200243428	0.0028637384979901125	0.02205687497771745	0.0
10435090	3.7974603465769854e-05	0.0072202020568147085	0.008646580047109937	0.01625176870104633	0.006504744637770684	0.011680169178365134	0.0061833356413470205	0.006787161169648132	0.004891104160235766	0.002574375235465379	0.0	0.009324888841821841	0.004601418060257385	0.006354889085845357	0.003316011686684718
10684501	0.0012966827815288002	0.005162790912804381	0.0	0.013410585645504302	0.0	0.011748597573949691	0.007370571536699954	0.0055212902533579074	0.005855880439590026	0.012098618561225152	0.0055867570310755045	0.006489710977000973	0.0035969807545668977	0.0015331171512006293	0.015715124221704586
10866165	0.0	0.011567640290988576	0.0	0.0006474177192532113	0.01726818366828367	0.0	0.0	0.004009703341188072	0.0	0.009036571545366651	0.0	0.0	0.04094984376775881	0.0	0.027712078000448635
11157783	0.010740522264060179	0.0013306234419606822	0.004351397400656745	0.002382944395017054	0.0	0.01558725728858347	0.006113498962511248	0.0057611572836417995	0.0	0.0	0.0	0.008126157218929292	0.02372332958269306	0.0	0.02329430118746546
