	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14
10101327	0.019700445617518426	0.0	0.0013543612390364299	0.018185291322198715	0.008483701979218166	0.0010089997149797276	0.005725287991229494	0.0017871924905386014	0.0	0.0	0.00866864732455763	0.003038064057129821	0.0	0.0
10101589	0.0	0.004537645942067161	0.010691693607854753	0.0008043174603944216	0.013391054745855115	0.013669439529196446	0.011217521590377878	0.0045405772202726105	0.0	0.0	0.0068526897041604525	0.011893792020992108	0.002908178536799437	0.007391485497941057
10221262	0.016251515848660858	0.0	0.01223665317705931	0.0	0.0	0.029896147340850457	0.0	0.0	0.0	0.0	0.0	0.01362189419438207	0.0	0.005005459113333332
10222853	0.0	0.014448300393904672	0.004694920073966415	0.008468871722774619	0.012160377484371418	0.006146383779871056	0.0	0.010185045752239443	0.00456323383991631	0.0	0.010482878083914788	0.0	0.022638947984882554	0.0
10248033	0.0013029403262474412	0.012096288295704652	0.0	0.0061797683204108285	0.03116292911077997	0.0	0.004066694570707784	0.0	0.0012195076936169387	0.0	0.01265163295084856	0.0056052852615313346	0.00616245675957426	0.0
10298957	0.01653609945520457	0.0	0.0	0.01538020335896287	0.0	0.004546157263066108	0.017872746345237236	0.0	0.0	0.020875095972716685	0.0	0.006694410259066561	0.0	0.0
10435090	0.0	0.016909027244539663	0.0	0.01292244136298922	0.002374271315289159	0.0078954200179634	0.0	0.0067857574632466874	0.01128771392987516	0.0	0.012120927990172572	0.0	0.023912674553922823	0.00823183061066796
10684501	0.0	0.0	0.010143089091606605	0.0014486816042657959	0.019981719718823582	0.0002835828223271248	0.014284077169815924	0.0	5.2675409444168145e-05	0.0	0.0	0.014505160645588417	0.017374789824628242	0.005547596453937833
10866165	0.0	0.025577308291048532	0.0	0.0	0.0	0.009019326173707834	0.0	0.0	0.0014587737335895335	0.018554044442224183	0.0	0.010566402040029042	0.005288742253392967	0.031795612996658895
11157783	0.00862443016398557	0.0	0.005926140655973295	0.009888075863512629	0.0	0.0	0.0035589405076909414	0.0	0.006138069071188857	0.011897050396426863	0.010531669952731545	0.011131953985592946	0.010273517127754036	0.014590380536625472
11319389	0.015383204069827919	0.0	0.007256589687474592	0.013410233936550742	0.0016852624021079835	0.0054770761701989235	0.004379967182166454	0.0	0.012885840405369184	0.0	0.0	0.003494069138276437	0.00891381466312453	0.0
11326252	0.0	0.009631181757957923	0.002868858593800057	0.0	0.027274276071697107	0.0	0.010665994672282141	0.002262266104122304	0.0	0.0	0.0	0.007633270064251407	0.009930393350606817	0.006052321264400886
11327005	0.0016308281964379767	0.028593931437140542	0.004642256144533135	0.0006039538422610306	0.0005700409485853905	0.010699308088568688	0.0	0.0	0.011127329874085878	0.0	0.0160019327471101	0.005057124505846001	0.003136861489757223	0.011967749073387535
11345331	0.0	0.0	0.008782483406907907	0.004682249991703399	0.00988510425738583	0.003910063114639228	0.0	0.020318210066512948	0.0	0.0014391442317356516	0.006340772634560053	0.014781521803396137	0.009273631962239081	0.0
11392518	0.0	0.0028228891769938418	0.011726350702971565	0.000509220895368807	0.007586452428818892	0.011785739251928842	0.0038415362431020593	0.010639182041045718	0.0	0.0	0.0	0.02416384134188223	0.004850431898303643	0.0
11413170	0.0	0.010201681699485961	0.0006549234323341536	0.003925584201182596	0.012062016975612268	0.0	0.0	0.007805137255629258	0.008863999902685818	0.0	0.0	0.0	0.020145353315855725	0.03839854220564987
11453772	0.0	0.02900952675103327	0.0	0.006641665559550526	0.0	0.014674631815015708	0.0	0.02092217637029167	0.00534564474551252	0.0	0.017853350822398164	0.007350175002151083	0.0	0.007065281363515523
11606935	0.0	0.011274856935824671	0.004101133630381688	0.0	0.011735160364350088	0.004143455257785736	0.0	0.003613976504132072	0.01706948941838789	0.0	1.0866851028794616e-05	0.015030723404067366	0.0	0.0
11616707	0.00659882490630673	0.008633878038241956	0.007707421387376417	0.012627747272079918	0.0063478304124743165	0.0018192629494675088	0.014680528864720472	0.0	0.0	0.0	0.0	0.009902997885893739	0.0058268481735084905	0.012214120292306807
11619606	0.004008611499881749	0.018058308497225915	0.00851658333620341	0.009809079493132752	0.013328309115813505	0.0022252589230898133	0.006702526577483505	0.0	0.0	0.002667242726625462	0.006095429705751506	0.001744943055528232	0.0036787409891515985	0.015808532551067254
11652071	0.0	0.0031397584182522036	0.0	0.011226749415532443	0.01204981795497717	0.003551165763098053	0.009051571261428528	0.01679032987130891	0.002818818196426168	0.0	0.0	0.002507020638488685	0.020341318151836266	0.02582894838268582
1243685	0.01968387155516178	0.0	0.0	0.010361552486677921	0.0	0.0005835784882786997	0.0013018192538539505	0.007010257504742054	0.014856625232898785	0.01057131028693215	0.0	0.014801351795305591	0.0020102787347583504	0.0
14498577	0.008313482529298734	0.008234536931725222	0.0	0.01266398456417184	0.002925988640632573	0.018197175612719396	0.0020081358583111213	0.00630112013167415	0.012099683400783772	0.004489792582507102	0.009196519143507812	0.0008260445145205984	0.0	0.011665479946874118
14641578	0.009235584520121045	0.0013053314538557601	0.014635061811621638	0.0	0.0	0.0023525699431307568	0.021222854740389804	0.0002603850572226034	0.0012865466049602496	0.0068575128594274	0.008090331749147524	0.00715069306974172	0.016018643980080197	0.004137696799424604
15387421	0.0	0.003652087245785631	0.017686187032983355	0.002930014580145103	0.025239182739769425	0.0	0.0	0.0009961837973241558	0.0	0.0	0.015744816208182105	0.001240988115258928	0.008055357266493996	0.01861293205198207
18414513	0.019608444481930852	0.0	0.00615253503320083	0.008190778886761237	0.0	0.0015324142672775724	0.00464954841277502	0.004304529385763909	0.00324666730481986	0.0	0.014263948516941079	0.010631022324074944	0.008721490035666048	0.0
20112377	0.014181861903228366	0.005790032153666453	0.0032364736519581013	0.010879240403365286	0.006063511436653037	0.0050671403098412286	0.0	0.0	0.0037972430904436626	0.006748837414539157	0.021104829365554276	0.00043931011212171837	0.00042996050799777667	0.0
20120255	0.0	0.0006887146353619511	0.002612821346961798	0.015629924849744608	0.03128112130753972	0.0	0.0012792208281502792	0.01049206650604318	0.0	0.006280330166303966	0.0	0.008312460603992386	0.0	0.0
20124619	0.0	0.020005673838534722	0.008745934080592158	0.001299945475695401	0.005464146989598972	0.0011364693796092197	0.007148367118033013	0.005075897859784228	0.012733427088448664	0.013383885429216863	0.0	0.00219972425108616	0.0	0.02297716333417841
20139562	0.0061293789936145565	0.013049725235312441	0.0	0.008539509244587927	0.022081984847174753	0.000679787423091351	0.010747342257720652	0.0	0.0	0.00817302088061174	0.00891751526874545	0.0042531604606689845	0.0020639997784549667	0.00379411566886312
20147440	0.014959785572697372	0.0	0.010936741883663684	0.010797566553520961	0.001694992252801143	0.0	0.012980553464093192	0.0	0.0	0.0	0.00625021207615125	0.011525983022858462	0.0	0.004874385725272497
20152393	0.0	0.026481844837893655	0.007755626945565938	0.0	0.007522414211138226	0.0	0.013275493743346271	0.0	0.006572968225618608	0.003141609350686185	0.004257665662372683	0.0	0.022996575663486958	0.00472313956910332
20156469	0.02610437461303552	0.0	0.0008594732724144063	0.019979849193544955	0.0004394598046908101	0.005615763002053733	0.0	0.0	0.0053444709520081846	0.0	0.0	0.005501716812694684	0.01739278318658126	0.0
20173942	0.028375321531772454	0.0	0.0	0.004973530209869122	0.0053628736524947	0.00571372351676541	0.0	0.0	0.0016624540272943055	0.00025139859353659277	0.0	0.01626606127286343	0.009203273229959955	0.0
20185860	0.0	0.0042766363340286245	0.011690285203744192	0.0	0.021716891392071013	0.0	0.0064008802435291555	0.011260367205085749	0.004247833751001203	0.0	0.0	0.0047178705621601326	0.005614904197319923	0.012524596661926499
20187042	0.005698545166431528	0.01054288200960675	0.007422050471798635	0.006601813244053433	0.0	0.0	0.008037466013213626	0.0006100370238253411	0.010586437352735598	0.006635531709341652	0.014541620758385342	0.008858540597232331	0.0	0.011495833266526666
20195344	0.0	0.005375908259061871	0.015462642027488937	0.0	0.0018452235816697267	0.006905394508224333	0.011600720822959171	0.00827196162721436	0.016199344931207716	0.0	0.009945754819669868	0.010589830636876692	0.0083770553347581	0.005747042718990246
20197364	0.016941454944198006	0.0	0.0036745935186745416	0.015511978252381896	0.0003138790717433039	0.008097566455408217	0.009011588431666061	0.0	0.01356512880536468	0.008324456076476682	0.007264491277894424	0.0025011367369268353	0.0	0.0
20204538	0.014757793171822402	0.0	0.007968370855928799	0.009865847186731454	0.0032718922711883897	0.0	0.009853317709439447	0.009139663601718927	0.0021109607848698916	0.0036721603340466222	0.0010080030134726032	0.011348982084856405	0.0	0.0
20214850	0.019133610532037663	0.0	0.0	0.0	0.0	0.02088948246608996	0.008382051911987496	0.0231798987954856	0.0	0.0	0.019565001347266246	0.0	0.0	0.0
20225925	0.0013185116571936227	0.005977646433740277	0.0	0.0035479723333074137	0.0	0.019606294203601726	0.010129442944106011	0.0	0.011833569323487145	0.0037603516981558833	0.028143663479329065	0.0	0.021834089781280038	0.0029341431498659167
20232474	0.0	0.0010102381953797036	0.013391416021323476	0.009789086097199492	0.011100742801346706	0.002525419625609083	1.1940216786256407e-05	0.002433556450758915	0.01803077777664447	0.0	0.0	0.0	0.022438178929449017	0.014010972379506853
20242958	0.0	0.004168815728971077	0.0	0.009207220355883679	0.01744634239221599	0.006903026083268249	0.010183424438234832	0.013283096810360703	0.01125857784346813	0.0	0.0001730792221517373	0.000118917433763963	0.017081778100800447	0.0
20251553	0.0	0.0	0.01215692203282614	0.0060382857230433734	0.01853670131423978	0.0036807996494611674	0.008875865022906671	0.01155314795321077	0.017120571831922386	0.0	0.00010267881591807758	0.0	0.005904696805026875	0.007233286916601079
20252720	0.0	0.0034422992228747514	0.006987361914779879	0.0	0.011440637059173194	0.00544668207066629	0.0	0.0036107880134214126	0.019370595976203414	0.0	0.012305200812857275	0.008537189236911507	0.018601140652455127	0.0
20254902	0.0	0.012991528067993354	0.005500930191986636	0.0	0.006441947687163797	0.0015379323575998125	0.006724405589248488	0.0065840643658138616	0.012073033687894677	0.012822058451807578	0.01256531062427303	0.006651285478900183	0.006392328234223302	0.007489406226598439
20260284	0.0	0.0	0.026478486026042893	0.0012438218087903437	0.006054698904040046	0.0	0.0	0.009431845228568584	0.015719904632225775	0.0	0.0	0.010691571125713185	0.004025610800453327	0.0
20267709	0.0032202969740504164	0.006364939756705119	0.0	0.01227429589908977	0.007511908568229112	0.010690900536210161	0.018841365244879248	0.0	0.015302317475507907	0.0005007116513445331	0.0043504904191573384	0.0005427348938785367	0.016115778267222786	0.010221163658930894
20271359	0.0	0.007756023327588335	0.01379935679900223	0.0	0.006798117996747989	0.0	0.004917952749108348	0.021212527062983058	0.0	0.0	0.0011964967648518349	0.009375229826940862	0.014589952050614089	0.0006869049072185777
20275399	0.0012616286940203881	6.345826745223519e-05	0.008755520583053265	0.011345981637711743	0.002379197276393889	0.0	0.015214101045210517	0.002319637110946718	0.022098160510380816	0.0	0.0	0.008385690796784057	0.0035389886571480286	0.0
20283691	0.0017347545315118825	0.0	0.0	0.025381963360474304	0.006114431356745034	0.01086067861756449	0.02156122839595414	0.0073677178004851315	0.0	0.007597119477571029	0.0	0.004132020678667555	0.0	0.0
20299973	0.0059044215123746045	0.0	6.949887235218257e-05	0.00506778860045319	0.0043591339311722195	0.010251351183340434	0.014155037634627258	0.0	0.01683586891337728	0.0008228999934514764	0.0	0.019557092473893284	0.0	0.006157535734638922
20358955	0.0	0.002190954312417929	0.0021384286099017584	0.0024042759134054368	0.012078076194251974	0.012216175736773222	0.014393379318470782	0.0017827874998109087	0.0033479327074175404	0.006435226696736385	0.0	0.015342077451065049	0.010590206119229948	0.012313757575928183
20371236	0.013319668750186565	0.011083175300457755	0.00902602183688941	0.001568492310761445	0.0	0.0	0.0	0.009277965303990984	0.0	0.012532480779042718	0.02113924504008532	0.0	0.0	0.010318958081303408
20376029	0.00223171679416684	0.0	0.008463576150172736	0.011616454277115062	0.005248419562879913	0.0	0.0	0.0	0.011810608364426744	0.021458804818734432	0.013009579979467016	0.0	0.007291556739827648	0.02315150475167492
20380417	0.003928964675267243	0.0036423182818636672	0.01773949661414617	0.0017699575806167918	0.0034316374606755042	0.018452192349810357	0.015781993862036044	0.006720880051835693	0.0008242299862404318	0.0	0.01668648052709579	0.0	0.0	0.01744688535091221
20390027	0.029130701193047236	0.0	0.0	0.0074711389219591804	0.0	0.005680129010829839	0.0	0.0	0.004046958491647918	0.0	0.004230327187350542	0.01974318318959712	0.005468559445646292	0.007473078291020095
20447343	0.014507418065116871	0.001523759172082515	0.0	0.011848691481412566	0.005311306555834589	0.021081029972752706	0.0023486849602316873	0.0	0.0010680726607714532	0.0008992147096595648	0.004055455555655623	0.004307524684212006	0.009767812345234836	0.010476846517137985
20453625	0.016042866334044798	0.0	0.0	0.014871415938089397	0.0	0.01657754890895432	0.004258368661623662	0.0003327376675885154	0.011956750941605091	0.0	0.0024794529828806116	0.013742940923666661	0.010059598865552898	0.0
20500815	0.010200353288673197	0.0	0.00023914151672853377	0.0	0.0	0.0	0.0	0.0	0.025652781831235625	0.03707866986701066	0.005385880503523349	0.002446438531743368	0.0	0.00918886511137638
20501668	0.0	0.006644551881041726	0.015964218808177794	0.0	0.010788880106456586	0.0	0.010969953570703322	0.013275722325324054	0.004590268584967638	0.009106743172201802	0.0	0.0006737458692573898	0.007580451077201664	0.0
20532115	0.0	0.0309607727337215	0.0	0.0	0.0	0.014591799276656907	0.0008295315709582955	0.020497983929012264	0.004273208919118534	0.006249710856155661	0.009317561442941049	0.0	0.0	0.010223151566636689
20559562	0.0012829432644059227	0.0	0.0	0.00033153950529743665	0.002884425094064273	0.013212249776615066	0.008571743273954147	0.034734577156558574	0.010351068178545444	0.0	0.0006612770825636546	0.011073183135411299	0.019926040716389662	0.0
20561642	0.02152913452648324	0.0	0.008377762924307777	0.02094662648330512	0.0	0.0014631350953503287	0.0029733845600691316	0.005564789714591976	0.0	0.0	0.0061978922772959535	0.0	0.00918348038325472	0.0014228852538531508
20594407	0.0	0.019815339663896484	0.0	0.001738237505406646	0.018425747802844346	0.004824544645121174	0.0010475592256268401	0.016333882202198714	0.009450045524687678	0.002183705393666094	0.002087780737058466	0.0	0.009424447725697747	0.00444523363218295
20630946	0.0073375765156723565	0.0	0.0	0.00579079771168326	0.0	0.019109004896262705	0.0	0.005208681445659205	0.0034005746594685565	0.0034295644460935457	0.0	0.026654860783067863	0.003578259595822011	0.002511059747567738
20674902	0.0033402596930700666	0.015816663174678988	0.010765011530026498	0.013047021075180748	0.01116398480437027	0.0	0.004066257411038995	0.004749445212063434	0.0033776159636876336	0.0037834303304743436	0.0	0.0029869910346942783	0.0	0.00472776861171535
