	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
PTGER3	0.0	0.0052247401091417255	0.0	0.000768589123482442	0.005079694661148324	0.0014074430607573108	0.0	0.0016451027036266485	0.001205753078672697	0.002029474896606794	0.002159155358796342	0.002006969052054779	0.003617834477255963	0.000725659419580372	0.0013302091099969447	0.0	0.003665701406504286
NEGR1	0.0	0.0025235146376697787	0.0015314575189934794	0.0016888536162175654	0.0	0.0	0.0021709715089722964	0.00393025584652957	0.0	0.0031258123073875078	0.001827788960828245	0.002453883013248911	0.004198323225968122	0.005646007859412121	0.0006877691823438972	0.0011032386834691598	0.0008656145452748918
LRRC53	0.0	0.003762873440846199	0.0022822276462156187	0.002562162330700175	0.0	0.001236742780297478	0.0016776103118391688	0.005995568706626945	0.0018107327048535761	0.002725832519702371	0.0019729946262518256	0.0	0.0	0.004344960699696154	0.0	0.00041954166272918625	0.000496887935264047
SYDE2	0.00014425110247422176	0.003357693977443356	0.0025780153636467715	0.0	0.0	0.002892990652739575	0.0	0.0037178143444659265	0.0009961169266688003	0.0023401957282604795	0.0	0.004321743849317741	0.0033036699358504817	0.003664992814584172	0.0006828295948793631	0.0028417949498878866	0.0
C1orf52	0.0008340429518270706	0.0027447592588001526	0.00113101976267969	0.002049468317050395	0.0008666443909255109	0.00034538336548377334	0.0	0.003019268236880212	0.002015739552336243	0.0041842939634699865	0.0017268230614715964	0.0013273844666941545	0.0011537604236991456	0.003933393337837329	0.0019122258352409255	0.0013201588079265383	0.002905834399311512
DIPK1A	0.0	0.0018938073943743422	0.0006057079410599425	0.0	0.006116355674508545	0.0	0.0	0.0019768735353109927	0.0009651710701495042	0.001136060024678849	0.004829934382740741	0.00028216624957197553	0.001849196569544407	0.001972573363468904	0.0034809606710145134	0.0041246351988494115	0.005102210703523823
FNBP1L	0.0	0.004856784177297629	0.001101359318628333	0.0011137257692635488	0.001965222520339036	1.90430177690528e-05	0.0	0.002903756154379055	0.0005436845022562364	0.006536003772771493	0.0035645337409691883	0.0	0.0011971447310732172	0.003970700175164139	0.0011231817848889071	0.0	0.002508336615675425
SLC25A24	0.0014736991218500738	0.001040771752993815	0.0009395208883222067	0.003647434722605412	0.00040766950085715923	8.399858946084188e-05	0.0009190103614602323	0.003206664118764153	0.0011226824013134665	0.0028336437959910984	0.0015548371394711932	0.0011694672136127685	0.003992760702011405	0.004701486577122256	0.0015049487956467315	0.0013617338158397828	0.0001420181930906043
STRIP1	0.00340803040291617	0.00022131712452044445	0.0	0.0031654291189750815	0.003436899889916893	0.003794007222474086	0.003265537162148434	0.0	0.0012687615480549955	1.504822969281921e-05	0.0016439527357699074	0.0006092976309430928	0.0014374481160577572	0.0	0.0	0.004206307594733687	0.0028025468823255325
CAPZA1	0.0015210774617558799	0.0	0.0	0.00041300099312448576	0.0	0.0032735369602910954	0.01176059984484801	0.0019347304012055889	0.0	0.0	0.0	0.002140833078018532	0.002789968911584068	0.0	0.0016483856401283041	0.0023781115671737936	0.0046622286741267996
